relvolume,open,low,price,percentchange,high,symbol,watchers,hourchange,sentiment
0.272,478.4,473.09,473.875,-0.6697,478.4,NOC,8044,0,13.33
0.4301,285.25,285.15,286.72,-0.5998,289.03,MSFT,443677,1,1.26
0.544,276.71,274.31,274.39,-1.7615,280.3,NVDA,421989,3,4.92
0.4163,220.5,219.31,223.105,-0.5195,226.26,ENPH,37473,-1,0.5
0.3125,213.48,213.07,214.87,-0.3848,216.75,META,512981,-1,0.61
0.4751,166.09,165.91,166.88,-0.4474,167.87,AAPL,878261,0,3.26
1.0387,166.165,161.85,162.2,-10.1833,169.55,TSLA,892380,6,-9.97
0.3866,139.91,140.17,141.306,0.0609,141.4299,JPM,82976,-3,0.28
0.3591,128.28,128.15,128.74,0.4369,129.56,EA,20703,0,0.0
1.4039,130.15,125.84,126.85,0.4196,130.98,IBM,51491,1,-1.45
0.4035,103.91,103.8684,105.16,0.9407,106.25,GOOGL,160574,0,-1.58
0.6007,103.53,103.38,103.725,-0.5513,105.24,AMZN,588810,5,0.15
0.5022,90.97,90.915,91.83,0.9454,92.275,SONY,2091,1,0.0
0.5354,88.825,88.75,90.32,0.4225,91.575,AMD,456927,-4,-0.69
0.3618,30.76,30.71,30.995,-0.4976,31.25,INTC,131298,0,0.64
0.2847,8.3,7.94,8.005,-7.2422,8.51,CVNA,23282,-1,0.23
0.368,5.9,5.9,5.91,-2.7961,6.045,SOFI,91960,-1,0.97
0.1876,5.0,4.89,4.98,-2.3529,5.02,AMC,413182,-6,0.79
