open,relvolume,symbol,percentchange,high,price,low,watchers,hourchange,sentiment
90.0,0.4882,SONY,0.5961,90.4,89.44,89.29,2089,0,0.0
273.7,0.8408,NVDA,-2.4808,274.63,264.95,264.4786,421423,5,3.47
129.18,0.66,JPM,-0.0156,130.43,128.5,128.0603,82618,0,1.61
214.835,0.5478,META,0.0701,216.84,214.0,212.584,512757,3,-1.12
190.74,0.8639,TSLA,-3.346,191.58,180.54,180.31,891210,-4,-0.11
100.4,0.7773,AMZN,-2.0917,100.51,97.83,97.705,588249,4,-1.86
106.58,0.5099,GOOGL,-0.6739,106.75,104.64,104.34,160339,-6,-0.07
199.9,0.4414,ENPH,-0.4317,201.26,196.03,195.81,37406,0,1.77
32.77,0.5877,INTC,-1.0201,32.89,32.02,31.96,131234,-2,-3.82
6.06,0.9555,SOFI,-2.5126,6.05,5.82,5.67,91919,-3,0.41
130.4,0.6074,IBM,-1.4415,130.8857,128.54,128.17,51367,0,-2.02
126.28,0.4105,EA,0.3581,127.1812,126.13,125.82,20701,0,-29.17
467.43,0.4255,NOC,0.961,474.7299,472.77,466.03,8038,0,0.0
94.97,0.8136,AMD,-1.8079,94.995,92.33,91.74,456743,0,6.05
284.79,0.7301,MSFT,0.2334,287.01,283.49,281.96,443292,-3,-1.14
10.13,0.5844,CVNA,-5.3279,10.32,9.24,8.79,23327,-3,7.13
161.22,0.6508,AAPL,-0.4353,162.06,160.1,159.78,877680,4,1.44
5.62,0.827,AMC,-1.6575,5.74,5.34,5.34,413219,-2,0.98
