high,low,open,percentchange,price,relvolume,symbol,watchers,hourchange,sentiment
474.875,469.59,475.72,-0.911,469.86,0.251,NOC,8044,0,-4.62
286.26,283.0608,285.01,-0.0769,285.89,0.4667,MSFT,443714,-4,0.44
271.44,267.2301,269.52,-0.3874,269.99,0.5394,NVDA,422043,-1,1.57
226.77,219.9,223.75,0.3181,225.505,0.3632,ENPH,37483,-2,3.33
213.41,209.76,210.21,-0.0282,213.01,0.4411,META,512999,-9,-1.34
166.0,161.33,164.8,1.2172,164.9739,0.6431,TSLA,892714,3,-0.69
166.45,164.5,165.05,-1.0141,164.96,0.6237,AAPL,14,-2,-2.48
140.755,138.78,139.74,-0.0994,140.67,0.4888,JPM,82978,1,-4.38
130.12,129.0,129.05,0.1902,129.045,0.312,EA,20703,0,0.0
126.69,125.27,126.0,-0.5025,125.725,0.8514,IBM,51486,1,-0.13
108.15,105.08,106.1,3.7376,107.69,1.0341,AMZN,588920,9,-0.56
106.0,104.79,105.47,-0.026,105.2626,0.4187,GOOGL,160601,1,0.1
92.38,91.61,91.87,0.9192,92.22,0.5672,SONY,2089,0,0.0
89.72,88.43,89.8,-1.6091,88.66,0.4998,AMD,456940,0,0.73
30.79,30.225,30.84,-1.766,30.315,0.3483,INTC,131291,0,-1.05
8.29,7.735,7.97,2.25,8.18,0.1865,CVNA,23260,-10,-2.84
5.99,5.85,5.9,0.5912,5.955,0.3415,SOFI,91959,-6,-0.52
5.07,4.91,4.94,0.1006,4.975,0.2707,AMC,413185,-5,-0.85
