relvolume,low,symbol,price,open,high,percentchange,watchers,hourchange,sentiment
0.2475,445.36,NOC,449.22,445.27,452.2,1.2669,8002,0,9.09
0.9809,269.85,MSFT,271.11,276.98,277.48,-2.9775,441926,12,0.03
0.6579,251.3,NVDA,259.1701,256.15,260.24,0.7464,419413,7,1.25
0.5559,193.64,META,197.06,198.48,199.36,0.7413,511735,-1,0.4
0.9592,185.2,ENPH,192.6,189.59,196.88,4.8791,37207,3,0.71
0.5912,176.35,TSLA,183.5615,178.08,186.44,1.905,888853,2,-0.56
0.6516,154.15,AAPL,157.5106,155.07,157.8,1.6197,876008,3,-1.19
1.3135,126.01,JPM,126.58,126.99,129.46,0.612,82200,8,0.53
0.4953,124.19,IBM,125.095,124.31,125.9115,1.1359,51324,1,1.67
0.2946,113.01,EA,113.62,113.01,114.28,0.2382,20730,0,0.0
0.5579,99.88,GOOGL,101.14,100.12,101.75,-0.4723,159571,-3,-0.26
0.6423,95.7,AMZN,97.02,98.41,98.48,-1.9505,586752,5,0.76
1.2071,92.9,AMD,95.8101,96.3,96.79,-2.0747,455935,3,-0.75
0.8662,87.33,SONY,88.6,87.52,89.16,2.4041,2079,0,0.0
0.5244,28.63,INTC,29.11,29.8,29.9,-2.3482,130822,0,-0.38
0.2539,6.95,CVNA,6.9508,7.43,7.81,-9.1399,23282,0,-1.89
0.6095,5.25,SOFI,5.2785,5.47,5.54,-3.3242,91584,0,1.07
0.3494,4.14,AMC,4.285,4.25,4.38,2.512,411738,-8,-0.63
