relvolume,symbol,high,low,percentchange,price,open,watchers,hourchange,sentiment
0.4493,EA,128.42,127.14,0.1642,128.08,127.37,20703,-1,-10.0
0.5878,NVDA,270.06,264.36,0.9119,270.02,265.655,421747,0,-1.18
0.273,CVNA,9.2192,8.68,1.0033,9.06,8.91,23313,1,-1.03
0.3666,AMC,5.3,5.1301,1.5625,5.2,5.24,413211,0,-1.77
0.7217,AMD,90.69,88.3,-2.049,89.87,90.23,456854,2,-2.95
0.6655,SOFI,6.0,5.81,0.6757,5.96,5.89,91926,5,0.09
0.4402,META,220.979,217.13,-1.1874,218.86,219.79,512929,2,0.06
1.0164,JPM,140.06,137.66,0.7929,139.83,139.95,82978,0,0.6
0.5412,AAPL,165.39,164.03,0.0121,165.23,165.09,878021,6,2.85
0.5124,IBM,128.72,126.8,-0.2497,127.82,128.3,51377,0,-5.04
0.6825,TSLA,189.69,182.7,1.1027,187.04,186.32,891685,3,0.25
0.4391,NOC,477.68,471.38,0.4698,474.79,472.99,8041,0,6.35
0.816,GOOGL,106.155,104.52,-2.6637,105.97,104.658,160537,0,-11.87
0.5168,INTC,32.64,31.77,0.7839,32.14,31.95,131274,0,3.84
0.9083,SONY,91.23,90.35,0.3192,91.15,90.55,2088,0,0.0
0.6118,MSFT,291.58,286.2,0.9296,288.8,289.93,443566,3,2.26
1.7249,ENPH,229.23,214.7801,7.6687,224.92,215.0,37479,-2,3.56
0.5299,AMZN,103.73,101.59,0.2244,102.74,103.16,588626,4,0.06
