open,high,low,percentchange,symbol,price,relvolume,watchers,hourchange,sentiment
31.85,32.58,31.81,1.8084,INTC,32.09,1.4198,131054,4,5.34
5.87,5.93,5.62,-0.5217,SOFI,5.72,0.6344,91769,0,-1.27
98.0,99.53,97.25,1.8628,AMD,97.88,0.8812,456363,-2,-2.75
101.55,103.04,101.01,1.7456,AMZN,102.0,0.6777,587425,-9,3.52
460.46,462.92,458.5,-0.1278,NOC,460.98,0.3938,8023,0,0.0
130.16,131.48,129.1,-0.3778,IBM,129.22,0.5487,51343,-2,8.71
195.58,197.328,194.42,0.7221,TSLA,195.28,0.6092,889744,-1,4.67
8.08,9.0,8.0748,12.1982,CVNA,8.83,0.5721,23366,-1,-5.66
120.0,120.05,118.85,-0.0755,EA,119.1,0.5217,20710,0,5.56
88.7,89.53,88.555,1.6388,SONY,89.31,1.4544,2082,0,0.0
284.23,284.46,281.5,1.262,MSFT,284.05,0.6427,442599,3,0.17
272.29,274.99,271.02,1.4787,NVDA,273.83,0.6652,420571,2,2.95
5.11,5.16,4.865,-0.6,AMC,4.97,0.5325,412474,-2,0.68
161.53,162.47,161.271,0.989,AAPL,162.36,0.5827,876767,-15,3.84
203.38,208.09,202.85,1.2126,META,207.84,0.6432,512298,-4,6.71
129.95,130.12,127.65,-0.302,JPM,128.75,0.7826,82474,-3,1.4
209.435,214.19,203.96,0.6472,ENPH,205.27,0.6629,37320,-1,-2.09
100.91,101.155,99.78,-0.4931,GOOGL,100.89,0.6807,159888,7,3.5
