high,low,percentchange,open,price,relvolume,symbol,watchers,hourchange,sentiment
100.51,97.705,-2.0917,100.4,97.83,0.7773,AMZN,588268,10,-0.64
106.75,104.34,-0.6739,106.58,104.64,0.5099,GOOGL,160343,0,0.11
32.89,31.96,-1.0201,32.77,32.02,0.5877,INTC,131233,-1,-6.78
6.05,5.67,-2.5126,6.06,5.82,0.9555,SOFI,91917,-1,-0.5
130.87,128.18,-1.4415,130.4,128.54,0.6074,IBM,51368,1,-2.42
474.7299,466.03,0.961,467.43,472.77,0.4255,NOC,8038,0,0.0
287.01,281.96,0.2334,284.79,283.49,0.7301,MSFT,443297,3,-0.96
127.1812,125.82,0.3581,126.28,126.13,0.4105,EA,20702,0,-16.67
94.995,91.74,-1.8079,94.97,92.33,0.8136,AMD,456750,5,6.1
10.32,8.79,-5.3279,9.79,9.24,0.5844,CVNA,23329,-1,5.68
162.06,159.78,-0.4353,161.22,160.1,0.6508,AAPL,877684,0,0.61
5.74,5.34,-1.6575,5.62,5.34,0.827,AMC,413218,5,0.36
90.4,89.29,0.5961,90.0,89.44,0.4882,SONY,2089,0,0.0
130.43,128.0603,-0.0156,129.18,128.5,0.66,JPM,82620,4,-2.58
191.58,180.31,-3.346,190.74,180.54,0.8639,TSLA,891221,4,-0.24
216.84,212.584,0.0701,214.835,214.0,0.5478,META,512762,4,-1.37
274.63,264.4786,-2.4808,273.7,264.95,0.8408,NVDA,421433,4,0.6
201.26,195.81,-0.4317,199.9,196.03,0.4414,ENPH,37409,0,2.25
