low,symbol,relvolume,open,high,price,percentchange,watchers,hourchange,sentiment
29.789,INTC,1.6683,29.77,31.89,31.52,7.6135,130911,8,7.05
189.44,TSLA,0.674,193.13,195.28,193.88,2.479,889638,9,0.48
7.37,CVNA,0.2295,7.47,7.9,7.87,6.9293,23365,1,-7.63
118.08,EA,0.4098,118.08,119.325,119.19,0.9914,20708,-1,0.0
278.41,MSFT,0.5914,278.96,281.1398,280.51,1.9184,442530,0,-1.71
159.35,AAPL,0.6109,159.37,161.04,160.77,1.9791,876718,11,-0.3
129.18,IBM,0.4977,130.12,130.35,129.71,0.2861,51343,-1,0.76
98.5801,AMZN,0.6207,98.69,100.4218,100.25,3.0954,587352,2,1.22
202.54,META,0.5083,203.56,205.72,205.35,2.3271,512243,1,0.12
457.495,NOC,0.4154,459.38,462.58,461.57,0.5599,8021,0,25.0
100.655,GOOGL,0.6183,102.28,102.43,101.39,0.3563,159836,0,4.31
127.77,JPM,0.9598,130.1,130.22,129.14,0.2017,82460,1,-0.93
5.65,SOFI,0.7071,5.69,5.9199,5.75,2.8623,91762,2,-1.08
265.97,NVDA,0.7093,268.25,270.77,269.84,2.1734,420470,0,-1.37
4.83,AMC,0.765,5.14,5.2084,5.0,-2.9126,412480,-5,-0.59
191.385,ENPH,0.7832,196.75,205.77,203.95,5.3896,37308,1,-0.62
94.87,AMD,0.8339,96.07,96.91,96.09,1.618,456332,0,-0.21
86.74,SONY,1.1442,86.93,88.0,87.87,2.3887,2084,0,0.0
