symbol,low,relvolume,open,price,high,percentchange,watchers,hourchange,sentiment
NOC,467.85,0.3928,467.22,473.42,473.58,1.1365,8036,0,0.0
MSFT,282.95,0.5168,285.85,283.83,287.145,-1.1665,442943,3,-4.52
NVDA,263.95,0.8664,268.29,266.54,269.98,-2.9104,421046,11,-4.46
META,209.95,0.4886,214.15,210.7,215.19,-1.8722,512550,0,-4.2
ENPH,187.73,0.7526,200.0,192.79,201.62,-4.8139,37377,2,0.11
TSLA,183.76,0.6911,190.515,185.4,190.68,-3.7283,890598,6,-1.55
AAPL,161.8,0.5859,164.74,163.24,165.05,-1.443,877248,5,-8.21
IBM,131.47,0.3369,131.37,131.97,132.61,0.2812,51359,1,0.0
JPM,126.46,0.527,126.8,127.69,128.14,0.2119,82526,0,3.17
EA,124.85,0.5396,125.24,125.775,126.245,0.4272,20706,0,8.33
GOOGL,103.66,0.5425,105.78,104.075,106.1,-0.6159,160114,3,0.29
AMZN,100.7506,0.51,103.91,101.15,103.91,-2.6936,587863,4,0.87
AMD,91.36,0.6973,94.35,92.1701,94.5,-3.8593,456577,5,-2.92
SONY,89.53,0.5927,89.9,89.655,90.02,-1.4888,2087,0,0.0
INTC,32.335,0.6036,32.795,32.795,32.985,-0.9215,131191,4,-0.91
CVNA,8.3901,0.2856,9.38,8.4,9.38,-11.5789,23331,-1,-1.8
SOFI,5.5801,0.7012,5.87,5.705,5.87,-3.1409,91867,-1,0.36
AMC,3.94,0.6399,4.07,4.005,4.09,2.4297,412889,0,-1.9
