price,low,symbol,open,high,relvolume,percentchange,watchers,hourchange,sentiment
214.75,210.66,META,214.71,215.66,0.4571,-0.6247,512691,0,-1.58
125.62,123.74,EA,124.79,125.8,0.3892,0.3675,20703,0,4.44
32.52,32.2,INTC,32.6,32.76,0.4854,-0.8839,131212,0,-1.66
131.03,129.24,IBM,129.83,131.08,0.3796,0.4061,51364,0,-1.29
9.31,8.62,CVNA,9.0,9.35,0.3262,3.3296,23315,0,3.76
289.39,284.72,MSFT,289.208,289.6,0.6369,-0.7579,443168,-2,-1.96
184.51,176.11,TSLA,179.94,185.0994,0.8207,-0.2972,891052,7,-0.34
102.17,99.57,AMZN,100.96,102.2,0.5167,0.1078,588100,0,-1.28
195.8,188.51,ENPH,189.09,195.9,0.4136,2.5131,37408,1,-1.82
5.24,4.74,AMC,4.77,5.37,1.2692,6.9388,413139,3,1.13
476.54,470.98,NOC,470.98,478.17,0.4565,1.3074,8041,0,-16.67
95.48,91.02,AMD,91.32,95.79,0.7903,3.2551,456699,0,8.86
275.79,266.69,NVDA,268.23,276.2099,0.7128,2.0047,421316,5,2.08
5.91,5.66,SOFI,5.69,5.92,0.5343,2.7826,91908,-1,0.55
162.03,160.08,AAPL,161.42,162.03,0.6369,-1.5972,877532,3,-4.57
127.89,126.22,JPM,126.54,128.23,0.5624,0.3295,82595,0,-2.86
106.44,105.12,GOOGL,106.98,107.59,0.6059,-1.8262,160302,1,0.22
88.51,87.73,SONY,87.76,88.52,0.4657,0.3856,2088,0,0.0
