percentchange,open,low,symbol,price,relvolume,high,watchers,hourchange,sentiment
2.5767,118.08,117.61,EA,119.03,0.8715,119.205,20720,1,7.14
0.0,4.4,4.38,AMC,4.47,0.283,4.54,411924,0,-0.03
-0.692,5.675,5.645,SOFI,5.74,0.4643,5.83,91705,0,-0.16
1.1368,29.04,28.93,INTC,29.36,1.0801,29.81,130871,2,-1.12
-0.5876,98.065,96.4,AMZN,98.13,0.6949,98.295,587041,1,-1.17
0.8469,205.18,203.55,META,206.01,0.7884,207.574,512045,-15,0.97
-0.1515,104.99,103.84,GOOGL,105.44,0.6651,105.49,159717,2,-3.93
-1.5216,125.63,123.11,JPM,124.91,1.496,125.68,82363,0,-0.56
-0.9416,191.65,187.15,TSLA,190.41,0.6231,192.36,889278,1,-1.41
2.4323,445.08,443.0,NOC,455.25,0.7919,456.2,8013,0,-6.06
-0.8383,88.3,86.96,SONY,87.53,1.3895,88.3,2082,0,0.0
-1.5152,270.31,263.55,NVDA,267.79,0.8619,271.67,420189,4,-1.04
1.048,277.24,275.3,MSFT,280.57,0.7429,280.63,442243,5,-0.91
0.8306,158.86,157.85,AAPL,160.25,0.6983,160.34,876387,6,-2.25
-2.3235,99.18,96.74,AMD,97.95,1.0179,99.52,456183,-5,-3.28
-1.9162,8.18,7.95,CVNA,8.19,0.2716,8.47,23423,0,-0.9
-4.2363,202.35,192.46,ENPH,195.99,0.8771,203.55,37277,3,4.76
1.5563,123.36,122.88,IBM,125.29,0.6283,125.4,51325,0,-2.69
