price,open,symbol,relvolume,low,percentchange,high,watchers,hourchange,sentiment
289.82,283.59,MSFT,0.602,283.17,2.2329,289.9,443338,-1,-1.85
5.85,5.91,SOFI,0.5437,5.825,0.5155,5.98,91913,-6,0.89
128.94,128.46,JPM,0.7779,126.84,0.3424,129.035,82673,15,-5.33
474.34,472.0,NOC,0.3826,469.78,0.3321,476.065,8037,-1,-8.57
32.105,31.82,INTC,0.474,31.65,0.2655,32.4252,131230,0,1.39
107.44,105.84,GOOGL,0.5101,105.9,2.6758,107.49,160364,4,-0.77
128.3,126.58,EA,0.4634,126.58,1.7204,128.72,20703,0,0.0
90.49,90.1,SONY,0.7734,90.0,1.174,90.83,2088,0,0.0
185.86,182.955,TSLA,0.6485,180.94,2.9467,186.5,891313,6,-0.16
220.32,215.73,META,0.6771,215.82,2.9533,221.15,512791,5,1.88
92.03,92.79,AMD,0.6105,91.83,-0.3249,93.16,456754,2,1.81
209.7499,200.01,ENPH,0.9909,198.52,6.9989,211.55,37416,-3,-2.01
5.455,5.48,AMC,0.5092,5.39,2.1536,5.66,413217,-1,-3.34
264.56,267.34,NVDA,0.6485,263.29,-0.1472,268.869,421491,5,-3.13
165.57,161.63,AAPL,0.8567,161.44,3.4166,165.8,877738,10,1.43
127.92,128.01,IBM,0.8901,126.01,-0.4823,128.39,51365,-2,5.26
102.43,98.95,AMZN,0.9312,98.73,4.702,102.56,588365,15,4.23
9.37,9.27,CVNA,0.3162,9.201,1.4069,9.76,23334,-2,0.35
