open,high,percentchange,price,symbol,relvolume,low,watchers,hourchange,sentiment
476.12,476.01,-0.9611,471.96,NOC,0.29,469.48,8039,0,5.0
285.75,285.87,-2.0526,283.45,MSFT,0.5978,281.64,443211,6,-2.33
277.235,277.89,-0.8213,273.525,NVDA,0.4413,271.26,421353,0,0.04
215.48,216.02,0.0396,214.835,META,0.3616,213.83,512715,-2,-1.26
195.9,199.04,1.093,197.94,ENPH,0.2585,193.14,37410,0,-0.72
186.69,189.19,1.7506,187.74,TSLA,0.5444,185.65,891114,0,0.22
162.35,162.36,-0.2037,161.7,AAPL,0.446,160.51,877573,1,-4.38
130.58,131.05,0.0114,131.045,IBM,0.3158,130.18,51364,0,-1.19
128.3,128.93,0.5161,128.55,JPM,0.4788,127.54,82602,0,-0.76
125.13,126.25,0.3105,126.01,EA,0.3096,124.74,20704,0,-1.14
106.55,106.73,-0.6342,105.765,GOOGL,0.4444,104.68,160313,2,0.08
100.8,100.99,-2.1043,100.02,AMZN,0.6418,99.01,588154,0,-5.74
96.06,96.065,-1.3301,94.21,AMD,0.6293,92.7,456714,2,4.15
89.24,89.48,0.7909,89.21,SONY,0.3205,88.98,2089,0,0.0
32.66,33.11,-0.0461,32.505,INTC,0.3298,32.45,131223,2,-8.82
9.79,10.8485,3.9742,9.68,CVNA,0.6792,9.6,23332,0,13.79
5.91,6.0095,0.2538,5.925,SOFI,0.4795,5.86,91914,-2,2.52
5.45,5.63,6.0115,5.555,AMC,0.742,5.25,413156,1,4.16
