symbol,price,open,percentchange,high,relvolume,low,watchers,hourchange,sentiment
META,214.72,213.39,0.7744,216.24,0.5769,212.54,512519,0,4.77
IBM,131.6,131.99,-0.3483,132.1499,0.5043,130.89,51358,0,0.0
TSLA,192.58,197.32,-1.1244,198.7446,0.711,190.32,890499,8,0.43
SONY,91.01,90.78,-0.3504,91.145,0.9783,90.36,2087,0,0.0
AMD,95.87,97.038,-0.7146,97.27,0.6455,95.21,456542,0,-2.3
ENPH,202.54,202.89,-0.0296,203.2,0.4624,198.65,37369,0,0.63
SOFI,5.89,6.1,-2.3217,6.095,0.4678,5.835,91854,0,-0.63
INTC,33.1,32.85,0.6385,33.84,1.059,32.85,131182,0,2.54
JPM,128.42,130.5,-1.3368,130.59,0.702,127.41,82526,0,6.95
AMZN,103.95,102.75,1.5038,104.2,0.6103,102.11,587798,5,2.42
NOC,468.1,468.73,-0.2323,471.94,0.3915,465.0,8034,0,0.0
MSFT,287.18,287.23,-0.0174,290.4499,0.6652,285.67,442887,-1,-0.13
AAPL,165.63,166.595,-0.325,166.83,0.5431,165.11,877176,3,1.97
NVDA,274.53,279.66,-1.8309,280.0,0.686,273.08,420940,9,0.55
GOOGL,104.72,104.33,0.345,105.58,0.5141,104.04,160046,5,4.0
AMC,3.91,4.08,-23.4834,4.45,2.4701,3.88,412839,8,-5.55
EA,125.24,121.43,3.2056,125.47,1.0756,121.23,20706,0,0.0
CVNA,9.5,9.44,2.2605,9.72,0.3434,8.93,23341,-2,-2.04
