relvolume,percentchange,low,high,symbol,open,price,watchers,hourchange,sentiment
0.6485,-0.1208,263.29,268.869,NVDA,267.34,264.63,421494,3,-2.16
0.8901,-0.4979,126.0,128.39,IBM,128.01,127.9,51363,-2,6.11
0.9312,4.6714,98.73,102.56,AMZN,98.95,102.4,588374,9,4.91
0.3162,1.4069,9.201,9.76,CVNA,9.27,9.37,23334,0,0.89
0.7779,0.3813,126.83,129.04,JPM,128.46,128.99,82689,16,-0.48
0.602,2.2399,283.17,289.9,MSFT,283.59,289.84,443344,6,-0.62
0.5437,0.6873,5.825,5.98,SOFI,5.91,5.86,91912,-1,1.13
0.3826,0.294,469.67,476.065,NOC,472.0,474.16,8037,0,-8.57
0.474,0.3435,31.65,32.4252,INTC,31.82,32.13,131231,1,3.64
0.5101,2.6663,105.9,107.49,GOOGL,105.84,107.43,160364,0,-0.54
0.4634,1.7046,126.58,128.72,EA,126.58,128.28,20703,0,6.67
0.6771,2.9673,215.82,221.15,META,215.73,220.35,512791,0,2.16
0.6485,2.9689,180.94,186.5,TSLA,182.955,185.9,891320,7,0.62
0.7734,1.174,90.0,90.83,SONY,90.1,90.49,2088,0,0.0
0.6105,-0.2599,91.83,93.16,AMD,92.79,92.09,456762,8,2.37
0.9909,6.9683,198.52,211.55,ENPH,200.01,209.69,37416,0,-3.55
0.5092,2.2472,5.39,5.66,AMC,5.48,5.46,413217,0,-3.25
0.8567,3.4104,161.44,165.8,AAPL,161.63,165.56,877738,0,2.73
