open,percentchange,price,low,relvolume,high,symbol,watchers,hourchange,sentiment
98.69,3.0954,100.25,98.5801,0.6207,100.4218,AMZN,587352,2,1.22
203.56,2.3271,205.35,202.54,0.5083,205.72,META,512243,1,0.12
130.1,0.2017,129.14,127.77,0.9598,130.22,JPM,82460,1,-0.93
5.69,2.8623,5.75,5.65,0.7071,5.9199,SOFI,91762,2,-1.08
102.28,0.3563,101.39,100.655,0.6183,102.43,GOOGL,159836,0,4.31
5.14,-2.9126,5.0,4.83,0.765,5.2084,AMC,412480,-5,-0.59
196.75,5.3896,203.95,191.385,0.7832,205.77,ENPH,37308,1,-0.62
268.25,2.1734,269.84,265.97,0.7093,270.77,NVDA,420470,0,-1.37
86.93,2.3887,87.87,86.74,1.1442,88.02,SONY,2084,0,0.0
96.07,1.618,96.09,94.87,0.8339,96.91,AMD,456332,0,-0.21
29.77,7.6135,31.52,29.789,1.6683,31.89,INTC,130911,8,7.05
193.13,2.479,193.88,189.44,0.674,195.28,TSLA,889638,9,0.48
7.47,6.9293,7.87,7.37,0.2295,7.9,CVNA,23365,1,-7.63
118.08,0.9914,119.19,118.08,0.4098,119.325,EA,20708,-1,0.0
278.96,1.9184,280.51,278.41,0.5914,281.1398,MSFT,442530,0,-1.71
130.12,0.2861,129.71,129.18,0.4977,130.348,IBM,51343,-1,0.76
159.37,1.9791,160.77,159.35,0.6109,161.04,AAPL,876718,11,-0.3
459.38,0.5599,461.57,457.495,0.4154,462.58,NOC,8021,0,25.0
