relvolume,open,price,high,symbol,low,percentchange,watchers,hourchange,sentiment
0.4136,189.09,195.8,195.9,ENPH,188.51,2.5131,37403,-2,-2.06
0.4565,470.98,476.54,478.17,NOC,470.98,1.3074,8041,0,-16.67
0.7903,91.32,95.48,95.79,AMD,91.02,3.2551,456694,2,8.46
0.7128,268.23,275.79,276.2099,NVDA,266.69,2.0047,421304,3,2.31
0.5343,5.69,5.91,5.92,SOFI,5.66,2.7826,91906,2,0.76
0.4571,214.71,214.75,215.66,META,210.66,-0.6247,512686,-1,-0.53
0.5624,126.54,127.89,128.23,JPM,126.22,0.3295,82587,-1,-2.49
0.4657,87.76,88.51,88.52,SONY,87.73,0.3856,2087,0,0.0
0.6369,161.42,162.03,162.03,AAPL,160.08,-1.5972,877520,1,-2.87
0.6059,106.98,106.44,107.59,GOOGL,105.12,-1.8262,160296,4,0.04
0.8207,179.94,184.51,185.0994,TSLA,176.11,-0.2972,891035,-1,-0.31
0.4854,32.6,32.52,32.76,INTC,32.2,-0.8839,131212,-4,-1.04
0.3262,9.0,9.31,9.35,CVNA,8.62,3.3296,23318,-1,1.53
0.3796,129.83,131.03,131.08,IBM,129.24,0.4061,51366,-1,-1.68
0.5167,100.96,102.17,102.2,AMZN,99.57,0.1078,588082,-4,-0.37
0.3892,124.79,125.62,125.8,EA,123.74,0.3675,20703,-1,8.08
0.6369,289.208,289.39,289.6,MSFT,284.72,-0.7579,443161,5,-1.38
1.2692,4.77,5.24,5.37,AMC,4.74,6.9388,413140,1,0.63
