price,open,high,percentchange,low,symbol,relvolume,watchers,hourchange,sentiment
128.75,129.95,130.12,-0.302,127.65,JPM,0.7826,82474,0,1.08
207.84,203.38,208.09,1.2126,202.85,META,0.6432,512301,3,6.06
205.27,209.435,214.19,0.6472,203.96,ENPH,0.6629,37321,1,-2.13
100.89,100.91,101.155,-0.4931,99.78,GOOGL,0.6807,159890,2,2.97
32.09,31.85,32.58,1.8084,31.81,INTC,1.4198,131054,0,4.5
5.72,5.87,5.93,-0.5217,5.62,SOFI,0.6344,91769,0,-1.14
97.88,98.0,99.53,1.8628,97.25,AMD,0.8812,456364,1,-3.07
102.0,101.55,103.04,1.7456,101.01,AMZN,0.6777,587425,0,3.58
460.98,460.46,462.92,-0.1278,458.5,NOC,0.3938,8023,0,0.0
129.22,130.16,131.48,-0.3778,129.1,IBM,0.5487,51343,0,8.38
195.28,195.58,197.328,0.7221,194.42,TSLA,0.6092,889751,7,4.19
119.1,120.0,120.05,-0.0755,118.85,EA,0.5217,20710,0,5.56
89.31,88.7,89.53,1.6388,88.555,SONY,1.4544,2082,0,0.0
8.83,8.08,9.0,12.1982,8.0748,CVNA,0.5721,23362,-4,-5.02
273.83,272.29,274.99,1.4787,271.02,NVDA,0.6652,420570,-1,2.26
4.97,5.11,5.16,-0.6,4.865,AMC,0.5325,412470,-4,0.78
162.36,161.53,162.47,0.989,161.271,AAPL,0.5827,876771,4,3.65
284.05,284.23,284.46,1.262,281.5,MSFT,0.6427,442600,1,-0.15
