high,percentchange,open,price,symbol,relvolume,low,watchers,hourchange,sentiment
461.9046,-0.0509,460.46,461.335,NOC,0.2185,458.615,8020,0,22.22
284.46,0.6987,284.23,282.47,MSFT,0.4721,281.5,442584,8,2.68
274.99,0.9413,272.29,272.38,NVDA,0.5039,271.02,420558,8,1.72
208.09,0.5138,203.38,206.405,META,0.5046,202.85,512287,5,1.53
214.19,1.0199,209.435,206.03,ENPH,0.5258,203.96,37319,1,-1.36
197.328,1.0264,195.58,195.87,TSLA,0.4852,194.42,889734,6,4.51
162.47,0.6593,161.53,161.83,AAPL,0.4341,161.271,876772,5,4.74
131.47,-0.2737,130.16,129.355,IBM,0.3692,129.15,51348,1,8.62
130.12,-0.7757,129.95,128.1383,JPM,0.5845,127.65,82476,-2,4.07
120.05,-0.1762,120.0,118.98,EA,0.3282,118.85,20710,0,5.56
103.04,1.2269,101.55,101.48,AMZN,0.5431,101.01,587420,7,6.84
100.96,-0.6904,100.91,100.69,GOOGL,0.4937,99.78,159879,7,3.69
99.53,1.8419,98.0,97.8599,AMD,0.6901,97.25,456356,6,-3.94
89.51,1.5705,88.7,89.25,SONY,0.9795,88.64,2081,0,0.0
32.58,1.967,31.85,32.14,INTC,1.1214,31.81,131054,4,17.52
9.0,7.4968,8.08,8.46,CVNA,0.4792,8.079,23365,8,-4.98
5.93,-1.2174,5.87,5.68,SOFI,0.4827,5.62,91777,2,0.43
5.16,-1.71,5.11,4.9145,AMC,0.4265,4.9,412494,0,1.25
