price,high,open,low,symbol,relvolume,percentchange,watchers,hourchange,sentiment
103.235,103.42,102.16,101.95,AMZN,0.6381,1.2108,587477,0,2.26
90.66,90.92,89.77,89.79,SONY,1.4706,1.5116,2083,0,0.0
131.145,131.16,129.47,129.42,IBM,0.5809,1.4897,51346,0,0.0
278.1,278.34,271.4,271.05,NVDA,0.7758,1.5594,420627,2,5.8
210.39,212.12,206.02,205.81,ENPH,0.544,2.4943,37332,-2,-0.32
6.075,6.17,5.75,5.67,SOFI,1.0566,6.2063,91781,0,0.95
461.66,463.4,462.98,459.45,NOC,0.4159,0.1475,8026,0,0.0
212.11,212.17,207.24,206.77,META,0.653,2.0545,512341,0,5.44
4.995,5.055,4.91,4.87,AMC,0.4763,0.503,412473,0,-0.08
32.67,32.8998,31.8,31.74,INTC,1.0575,1.8074,131092,1,-0.19
98.065,98.36,96.34,95.27,AMD,0.8317,0.189,456390,-6,4.33
207.43,207.79,197.53,197.23,TSLA,0.9318,6.2218,889859,11,8.6
164.84,165.0,162.44,162.13,AAPL,0.7363,1.5275,876831,7,5.26
9.775,9.78,8.9,8.77,CVNA,0.475,10.7022,23361,3,2.58
120.46,120.53,119.38,118.985,EA,0.6957,1.1419,20709,0,-7.14
288.25,288.81,283.73,283.03,MSFT,0.7248,1.4786,442654,1,2.66
130.27,130.3,129.66,128.8514,JPM,0.7219,1.1806,82487,-1,-2.57
103.675,103.89,101.3,101.05,GOOGL,0.6778,2.7604,159928,0,5.16
