price,high,open,low,symbol,percentchange,relvolume,watchers,hourchange,sentiment
458.645,461.5,458.31,458.22,NOC,0.0862,0.1745,8016,1,0.0
272.57,276.13,275.79,272.05,MSFT,-1.3785,0.4263,442482,1,-2.24
261.93,265.13,264.47,258.5,NVDA,-1.274,0.531,420420,7,0.14
198.72,200.43,200.15,197.9,META,-2.0312,0.3906,512223,1,-2.94
191.335,196.515,196.0,191.23,ENPH,-2.2954,0.2301,37299,1,-2.58
187.6399,192.35,192.0,185.43,TSLA,-2.1741,0.4186,889569,9,-2.47
156.31,158.1277,157.97,155.98,AAPL,-1.2446,0.3981,876653,8,-2.31
129.02,129.66,129.18,128.8,IBM,-0.2243,0.3114,51344,1,4.42
128.03,129.342,128.71,127.75,JPM,-0.358,0.5213,82451,0,-0.94
117.69,118.4425,118.085,117.38,EA,-0.8007,0.3365,20715,-1,-1.01
100.45,102.4,102.44,99.7401,GOOGL,-1.9617,0.5528,159817,2,-3.76
96.71,98.44,98.11,96.29,AMZN,-1.3566,0.3593,587253,4,-1.17
93.63,96.93,96.77,92.87,AMD,-3.0846,0.7031,456307,4,-1.33
85.82,86.6682,86.11,85.745,SONY,-0.9464,0.5203,2081,0,0.0
28.985,29.23,29.075,28.63,INTC,-0.6683,0.4417,130891,0,-1.14
7.375,7.72,7.57,7.22,CVNA,-3.2152,0.1702,23394,-4,0.02
5.535,5.79,5.74,5.51,SOFI,-3.9062,0.3969,91755,2,0.77
5.125,5.3787,4.51,4.46,AMC,12.6374,1.2913,411974,5,-0.28
