percentchange,relvolume,high,price,symbol,open,low,watchers,hourchange,sentiment
-0.5006,0.4242,482.7909,477.07,NOC,480.46,476.2,8043,0,6.06
0.9542,0.6812,280.0,279.31,NVDA,273.61,272.32,421918,0,2.9
1.955,0.8364,105.12,104.3,AMZN,101.58,101.39,588745,9,2.6
0.1782,0.5543,90.54,89.94,AMD,88.51,88.22,456896,-3,0.9
-0.3062,0.4564,104.98,104.18,GOOGL,103.58,103.07,160558,2,-0.17
-1.1426,0.9493,126.98,126.32,IBM,126.5,125.3,51409,4,1.48
-1.0051,0.4728,217.33,215.7,META,213.472,212.94,512956,-3,3.28
-0.1273,0.5763,141.5,141.22,JPM,141.23,140.4,82989,0,-0.68
-1.9318,0.2952,8.8426,8.63,CVNA,8.6,8.295,23284,-1,-4.39
-0.6665,0.3668,128.9,128.18,EA,128.58,128.075,20705,1,10.0
0.0277,0.4744,289.05,288.45,MSFT,285.99,284.54,443647,3,5.34
-0.3724,0.5063,91.12,90.97,SONY,91.0,90.73,2087,1,0.0
-2.0183,0.6315,183.5,180.59,TSLA,179.1,177.65,891999,25,0.78
1.6722,0.4953,6.1,6.08,SOFI,5.9,5.87,91963,16,0.91
-1.5798,0.5032,228.49,224.27,ENPH,225.06,222.3,37475,-1,-0.26
0.6968,0.6395,168.16,167.63,AAPL,165.8,165.54,878179,3,4.2
-2.1363,0.4343,31.52,31.15,INTC,31.1,31.0828,131281,2,0.0
0.9901,0.3154,5.17,5.1,AMC,4.95,4.92,413181,-2,-1.52
