low,relvolume,price,high,symbol,percentchange,open,watchers,hourchange,sentiment
441.305,0.5806,442.09,451.41,NOC,-1.7905,449.81,7996,0,1.39
276.3201,1.4621,278.13,283.33,MSFT,0.6988,278.26,441712,7,2.54
256.68,1.148,258.48,263.99,NVDA,1.202,259.82,419156,8,5.37
196.57,0.8093,196.98,201.9,META,-3.8794,200.56,511588,-1,1.32
181.55,1.3531,182.915,200.7,ENPH,-9.0428,200.7,37072,17,-3.95
177.33,0.5608,179.05,186.21,TSLA,-2.7589,184.515,888606,3,3.31
154.28,0.8021,154.98,156.74,AAPL,-0.5582,156.08,875776,2,5.56
125.58,1.6113,125.69,128.45,JPM,-3.87,128.38,82020,5,5.95
122.935,1.2379,123.11,124.2,IBM,-1.2751,124.08,51323,0,7.41
112.98,0.5394,113.1,114.0,EA,-0.3788,113.65,20736,0,0.0
100.1,1.0107,101.22,102.835,GOOGL,0.8971,100.26,159499,3,2.66
97.455,0.727,98.56,100.65,AMZN,-1.4794,99.79,586531,6,2.4
95.94,1.1929,96.54,98.75,AMD,-0.0621,96.66,455809,4,2.76
86.19,0.662,86.585,87.445,SONY,0.2257,87.25,2077,0,33.33
29.44,0.7877,29.52,30.56,INTC,-2.1869,29.92,130791,0,-1.33
7.02,0.3412,7.685,7.9,CVNA,3.7112,7.21,23309,8,1.11
5.33,0.4398,5.405,5.5,SOFI,-0.8257,5.47,91540,-1,2.93
4.108,0.494,4.245,4.34,AMC,-3.303,4.3,411727,-2,0.17
