relvolume,high,price,percentchange,low,symbol,open,watchers,hourchange,sentiment
0.2824,459.96,459.4204,0.9161,455.23,NOC,459.09,8013,0,0.0
0.5603,281.4589,276.8,-1.3437,275.52,MSFT,280.5,442425,5,0.38
0.5865,269.94,266.68,-0.4145,263.6501,NVDA,268.37,420365,2,-1.03
0.4096,205.86,203.96,-0.9951,201.37,META,204.81,512182,6,-0.28
0.4955,200.21,197.595,0.8189,191.61,ENPH,199.36,37293,0,0.27
0.5685,197.39,193.52,1.6333,189.94,TSLA,194.415,889468,5,-0.37
0.4941,160.77,159.03,-0.7613,157.87,AAPL,159.94,876585,0,0.28
0.7853,130.255,129.98,3.7433,126.47,IBM,126.47,51335,0,2.27
1.003,129.36,129.36,3.5626,126.29,JPM,126.79,82429,5,-3.66
0.4047,119.4,119.2,0.1428,118.14,EA,118.9,20718,0,0.0
0.535,104.76,103.16,-2.1624,101.9273,GOOGL,104.615,159784,1,-0.41
0.4925,99.335,98.57,0.4484,97.08,AMZN,99.07,587193,-1,-0.93
0.7551,98.93,97.37,-0.5921,95.425,AMD,98.02,456271,5,-1.6
0.8265,87.38,86.82,-0.8112,86.33,SONY,87.12,2081,0,0.0
0.4847,29.73,29.575,0.7323,29.08,INTC,29.37,130888,0,1.01
0.2198,8.3686,7.765,-5.1893,7.57,CVNA,8.35,23422,-4,-0.56
0.456,5.88,5.83,1.5679,5.73,SOFI,5.82,91735,2,0.02
0.4032,4.53,4.515,1.0067,4.3,AMC,4.51,411968,-2,-0.2
