open,relvolume,low,symbol,percentchange,price,high,watchers,hourchange,sentiment
139.74,0.6957,138.78,JPM,-0.1917,140.54,141.11,82969,0,-3.66
30.84,0.5032,30.225,INTC,-1.8146,30.3,30.79,131265,0,0.27
129.05,0.504,128.695,EA,0.2407,129.11,130.12,20700,0,25.0
126.0,1.0535,125.27,IBM,-0.4986,125.73,126.69,51479,0,1.87
269.52,0.644,267.2301,NVDA,0.0553,271.19,271.83,422022,0,1.01
165.05,0.7882,164.5,AAPL,-0.9781,165.02,166.45,878262,3,-1.71
285.01,0.5756,283.0608,MSFT,-0.1223,285.76,286.26,443705,0,-2.57
210.21,0.5292,209.76,META,-0.0845,212.89,213.41,512981,0,-1.62
106.1,1.2806,105.08,AMZN,3.0344,106.96,108.15,588921,-15,0.01
89.8,0.6306,88.055,AMD,-1.8644,88.43,89.72,456922,2,0.04
7.97,0.2397,7.735,CVNA,1.75,8.14,8.29,23240,0,-0.51
164.8,0.7409,161.33,TSLA,1.2823,165.08,166.0,892727,4,1.11
105.47,0.5543,104.79,GOOGL,0.114,105.41,106.0,160602,0,-1.75
91.87,0.7484,91.61,SONY,0.7332,92.05,92.38,2089,0,0.0
223.75,0.5057,219.9,ENPH,-0.5249,223.61,226.77,37487,0,2.0
5.9,0.4494,5.85,SOFI,0.3378,5.94,5.99,91955,0,0.06
475.72,0.6011,468.84,NOC,-0.4618,471.99,474.875,8043,0,7.14
4.94,0.3518,4.91,AMC,0.4024,4.99,5.07,413114,0,0.84
