low,high,symbol,relvolume,percentchange,price,open,watchers,hourchange,sentiment
125.27,126.69,IBM,1.0535,-0.4986,125.73,126.0,51487,0,0.74
209.76,213.41,META,0.5292,-0.0845,212.89,210.21,513002,0,0.61
164.5,166.45,AAPL,0.7882,-0.9781,165.02,165.05,12,-3,-1.21
88.055,89.72,AMD,0.6306,-1.8644,88.43,89.8,456942,0,1.61
105.08,108.15,AMZN,1.2806,3.0344,106.96,106.1,588936,12,0.78
161.33,166.0,TSLA,0.7409,1.2823,165.08,164.8,892738,6,0.93
7.735,8.29,CVNA,0.2397,1.75,8.14,7.97,23257,0,-1.24
91.61,92.38,SONY,0.7484,0.7332,92.05,91.87,2089,0,0.0
104.79,106.0,GOOGL,0.5543,0.114,105.41,105.47,160607,2,-0.36
219.9,226.77,ENPH,0.5057,-0.5249,223.61,223.75,37487,0,2.04
5.85,5.99,SOFI,0.4494,0.3378,5.94,5.9,91960,0,0.0
468.84,474.875,NOC,0.6011,-0.4618,471.99,475.72,8044,0,1.43
4.91,5.07,AMC,0.3518,0.4024,4.99,4.94,413185,1,0.07
30.225,30.79,INTC,0.5032,-1.8146,30.3,30.84,131286,2,-0.42
138.78,141.11,JPM,0.6957,-0.1917,140.54,139.74,82974,0,-3.43
283.0608,286.26,MSFT,0.5756,-0.1223,285.76,285.01,443721,3,-1.27
128.695,130.12,EA,0.504,0.2407,129.11,129.05,20702,0,10.0
267.2301,271.83,NVDA,0.644,0.0553,271.19,269.52,422037,0,1.72
