symbol,relvolume,percentchange,low,price,high,open,watchers,hourchange,sentiment
ENPH,0.8384,-4.3794,187.73,193.67,201.62,200.0,37380,0,0.7
AMZN,0.5813,-2.7417,100.7506,101.1,103.91,103.91,587868,5,-0.87
AAPL,0.6702,-1.129,161.8,163.76,165.05,164.74,877253,2,-9.35
CVNA,0.3189,-10.5263,8.39,8.5,9.38,9.38,23330,-2,-1.85
EA,0.7325,0.7266,124.85,126.15,126.27,125.24,20706,0,0.0
AMD,0.7872,-3.4526,91.36,92.56,94.5,94.35,456579,0,-1.63
JPM,0.609,0.1491,126.46,127.61,128.15,126.8,82525,0,0.27
NOC,0.5536,0.6003,467.22,470.91,473.6,467.22,8036,0,0.0
AMC,0.7224,3.5806,3.94,4.05,4.09,4.07,412883,0,-0.55
NVDA,0.9568,-2.0836,263.95,268.81,269.98,268.29,421054,4,-3.53
META,0.5446,-1.5089,209.95,211.48,215.19,214.15,512545,-1,-3.58
MSFT,0.5843,-0.9889,282.95,284.34,287.145,285.85,442946,-1,-4.56
TSLA,0.7518,-3.666,183.76,185.52,190.68,190.515,890609,6,-1.41
SONY,0.7198,-1.4943,89.5312,89.65,90.02,89.9,2087,0,0.0
GOOGL,0.6109,-0.2387,103.66,104.47,106.1,105.78,160103,-2,0.52
SOFI,0.786,-2.5467,5.5801,5.74,5.87,5.87,91868,0,0.71
IBM,0.4187,0.4103,131.37,132.14,132.61,131.37,51366,0,0.0
INTC,0.7132,-0.8157,32.335,32.83,32.985,32.795,131190,1,-1.83
