percentchange,low,price,high,open,symbol,relvolume,watchers,hourchange,sentiment
-1.8372,441.305,441.88,451.41,449.81,NOC,0.6431,7996,0,1.11
1.0101,276.3201,278.99,283.33,278.26,MSFT,1.5762,441723,11,1.96
1.6953,256.68,259.74,263.99,259.82,NVDA,1.2309,419169,13,4.37
-3.3377,195.92,198.09,201.9,200.56,META,0.9374,511604,16,-0.47
-9.085,181.55,182.83,200.7,200.7,ENPH,1.4693,37086,14,-4.65
-2.2715,177.33,179.9475,186.21,184.515,TSLA,0.6119,888605,-1,2.68
-0.5646,154.28,154.97,156.74,156.08,AAPL,0.876,875776,0,6.18
-3.717,125.46,125.89,128.45,128.38,JPM,1.799,82027,7,4.98
-0.9142,122.935,123.56,124.2,124.08,IBM,1.359,51322,-1,6.08
-0.1233,112.98,113.39,114.0,113.65,EA,0.5846,20736,0,0.0
0.9918,100.1,101.315,102.835,100.26,GOOGL,1.0806,159500,1,2.5
-1.2095,97.455,98.83,100.65,99.79,AMZN,0.7788,586534,3,2.44
0.4658,95.94,97.05,98.75,96.66,AMD,1.3004,455814,5,2.04
0.4051,86.19,86.74,87.445,87.25,SONY,0.7539,2077,0,33.33
-1.8058,29.44,29.635,30.56,29.92,INTC,0.8547,130791,0,-1.62
4.0486,7.02,7.71,7.9,7.21,CVNA,0.3657,23307,-2,0.72
0.5505,5.33,5.48,5.5,5.47,SOFI,0.4816,91541,1,5.24
-3.5308,4.108,4.235,4.34,4.3,AMC,0.5268,411726,-1,0.19
