symbol,percentchange,high,price,open,low,relvolume,watchers,hourchange,sentiment
AAPL,0.7505,167.41,166.47,166.1,165.65,0.6295,878090,0,3.72
GOOGL,-1.3872,106.515,104.5,106.49,104.07,0.5757,160555,4,-2.45
TSLA,-1.4596,187.69,184.31,187.15,183.5887,0.5393,891798,3,-0.48
META,-0.4432,220.44,217.89,219.91,216.215,0.3488,512944,-2,1.21
CVNA,-2.8698,9.285,8.8,9.22,8.76,0.2683,23300,0,-3.81
MSFT,-0.1489,291.6,288.37,291.57,287.02,0.5165,443622,0,4.33
JPM,1.1228,141.78,141.4,140.27,139.03,0.8356,82988,0,-0.05
EA,0.7495,129.38,129.04,128.81,127.82,0.5166,20704,0,0.0
NOC,0.9857,483.4,479.47,475.74,475.74,0.6483,8043,0,-8.33
ENPH,1.3116,231.31,227.87,225.43,222.23,0.8254,37486,0,-1.69
AMZN,-0.4283,104.2,102.3,103.95,101.52,0.555,588657,4,1.51
IBM,-0.0313,128.68,127.78,128.14,127.35,0.4769,51381,0,-0.62
SOFI,0.3356,6.02,5.98,6.0,5.895,0.4567,91918,1,-0.81
AMC,-2.8846,5.212,5.05,5.23,4.98,0.3403,413186,2,-1.95
INTC,-0.9645,32.46,31.83,32.43,31.785,0.4755,131278,2,0.16
SONY,0.1755,91.86,91.31,91.57,90.99,0.8545,2086,0,0.0
NVDA,2.4628,281.0802,276.67,275.335,273.57,1.1798,421856,6,0.1
AMD,-0.1001,92.16,89.78,91.61,89.33,0.6994,456871,0,2.83
