high,percentchange,symbol,low,relvolume,price,open,watchers,hourchange,sentiment
131.47,-0.3778,IBM,129.1,0.5487,129.22,130.16,51348,0,8.71
284.46,1.262,MSFT,281.5,0.6427,284.05,284.23,442596,3,2.12
197.328,0.7221,TSLA,194.42,0.6092,195.28,195.58,889736,-2,5.7
89.53,1.6388,SONY,88.555,1.4544,89.31,88.7,2082,1,0.0
120.05,-0.0755,EA,118.85,0.5217,119.1,120.0,20710,0,5.56
5.16,-0.6,AMC,4.87,0.5325,4.97,5.11,412480,-10,0.95
9.0,12.1982,CVNA,8.079,0.5721,8.83,8.08,23364,-2,-5.37
274.99,1.4787,NVDA,271.02,0.6652,273.83,272.29,420566,1,5.05
214.19,0.6472,ENPH,203.96,0.6629,205.27,209.435,37321,2,-2.15
162.47,0.989,AAPL,161.271,0.5827,162.36,161.53,876782,7,5.16
130.12,-0.302,JPM,127.65,0.7826,128.75,129.95,82474,-1,2.99
208.09,1.2126,META,202.85,0.6432,207.84,203.38,512294,0,6.27
101.155,-0.4931,GOOGL,99.78,0.6807,100.89,100.91,159881,0,3.75
5.93,-0.5217,SOFI,5.62,0.6344,5.72,5.87,91769,-6,-0.21
32.58,1.8084,INTC,31.81,1.4198,32.09,31.85,131051,-4,9.96
462.92,-0.1278,NOC,458.5,0.3938,460.98,460.46,8023,0,0.0
103.04,1.7456,AMZN,101.01,0.6777,102.0,101.55,587436,2,5.02
99.53,1.8628,AMD,97.25,0.8812,97.88,98.0,456364,0,-1.07
