percentchange,relvolume,symbol,high,open,low,price,watchers,hourchange,sentiment
0.3192,0.9083,SONY,91.23,90.55,90.35,91.15,2088,0,0.0
0.1642,0.4493,EA,128.42,127.37,127.14,128.08,20706,-1,-10.0
0.9296,0.6118,MSFT,291.58,289.93,286.2,288.8,443554,8,2.44
0.2244,0.5299,AMZN,103.73,103.16,101.59,102.74,588609,1,-0.58
7.6687,1.7249,ENPH,229.23,215.0,214.7801,224.92,37476,3,3.43
0.9119,0.5878,NVDA,270.06,265.655,264.36,270.02,421738,7,-1.33
0.7929,1.0164,JPM,140.06,139.95,137.66,139.83,82973,0,0.57
0.6757,0.6655,SOFI,6.0,5.89,5.81,5.96,91919,0,0.14
-2.049,0.7217,AMD,90.69,90.23,88.3,89.87,456849,2,-2.65
1.0033,0.273,CVNA,9.2192,8.91,8.68,9.06,23310,0,-0.87
1.5625,0.3666,AMC,5.3,5.24,5.1301,5.2,413211,5,-1.29
-1.1874,0.4402,META,220.979,219.79,217.13,218.86,512925,5,0.6
0.0121,0.5412,AAPL,165.39,165.09,164.03,165.23,878010,10,2.31
-0.2497,0.5124,IBM,128.72,128.3,126.8,127.82,51378,0,-4.47
1.1027,0.6825,TSLA,189.69,186.32,182.7,187.04,891656,2,0.25
-2.6637,0.816,GOOGL,106.155,104.658,104.52,105.97,160524,4,-11.65
0.7839,0.5168,INTC,32.64,31.95,31.77,32.14,131271,2,3.63
0.4698,0.4391,NOC,477.68,472.99,471.38,474.79,8041,0,8.33
