relvolume,symbol,high,price,percentchange,open,low,watchers,hourchange,sentiment
0.7325,EA,126.27,126.15,0.7266,125.24,124.85,20706,0,0.0
0.3189,CVNA,9.38,8.5,-10.5263,9.38,8.39,23331,0,-1.57
0.609,JPM,128.15,127.61,0.1491,126.8,126.46,82526,0,3.59
0.5843,MSFT,287.145,284.34,-0.9889,285.85,282.95,442943,0,-4.57
0.7872,AMD,94.5,92.56,-3.4526,94.35,91.36,456574,-3,-2.38
0.5536,NOC,473.6,470.91,0.6003,467.22,467.22,8036,0,0.0
0.5446,META,215.19,211.48,-1.5089,214.15,209.95,512549,-1,-3.89
0.7224,AMC,4.09,4.05,3.5806,4.07,3.94,412890,1,-1.18
0.9568,NVDA,269.98,268.81,-2.0836,268.29,263.95,421051,5,-4.01
0.7198,SONY,90.02,89.65,-1.4943,89.9,89.5312,2087,0,0.0
0.4187,IBM,132.61,132.14,0.4103,131.37,131.37,51365,6,0.0
0.7518,TSLA,190.68,185.52,-3.666,190.515,183.76,890600,2,-1.08
0.6109,GOOGL,106.1,104.47,-0.2387,105.78,103.66,160109,-5,-0.03
0.786,SOFI,5.87,5.74,-2.5467,5.87,5.5801,91869,2,0.68
0.7132,INTC,32.985,32.83,-0.8157,32.795,32.335,131189,-2,-1.12
0.8384,ENPH,201.62,193.67,-4.3794,200.0,187.73,37379,2,0.69
0.5813,AMZN,103.91,101.1,-2.7417,103.91,100.7506,587861,-2,0.57
0.6702,AAPL,165.05,163.76,-1.129,164.74,161.8,877252,4,-8.61
