high,open,percentchange,symbol,relvolume,price,low,watchers,hourchange,sentiment
270.06,265.655,0.9119,NVDA,0.5878,270.02,264.36,421738,7,-1.33
9.2192,8.91,1.0033,CVNA,0.273,9.06,8.68,23310,0,-0.87
6.0,5.89,0.6757,SOFI,0.6655,5.96,5.81,91919,0,0.14
90.69,90.23,-2.049,AMD,0.7217,89.87,88.3,456849,2,-2.65
140.06,139.95,0.7929,JPM,1.0164,139.83,137.66,82973,0,0.57
5.3,5.24,1.5625,AMC,0.3666,5.2,5.1301,413211,5,-1.29
220.979,219.79,-1.1874,META,0.4402,218.86,217.13,512925,5,0.6
165.39,165.09,0.0121,AAPL,0.5412,165.23,164.03,878010,10,2.31
128.72,128.3,-0.2497,IBM,0.5124,127.82,126.8,51378,0,-4.47
189.69,186.32,1.1027,TSLA,0.6825,187.04,182.7,891656,2,0.25
32.64,31.95,0.7839,INTC,0.5168,32.14,31.77,131271,2,3.63
106.155,104.658,-2.6637,GOOGL,0.816,105.97,104.52,160524,4,-11.65
477.68,472.99,0.4698,NOC,0.4391,474.79,471.38,8041,0,8.33
91.23,90.55,0.3192,SONY,0.9083,91.15,90.35,2088,0,0.0
291.58,289.93,0.9296,MSFT,0.6118,288.8,286.2,443554,8,2.44
103.73,103.16,0.2244,AMZN,0.5299,102.74,101.59,588609,1,-0.58
128.42,127.37,0.1642,EA,0.4493,128.08,127.14,20706,-1,-10.0
229.23,215.0,7.6687,ENPH,1.7249,224.92,214.7801,37476,3,3.43
