symbol,percentchange,price,low,high,open,relvolume,watchers,hourchange,sentiment
NOC,-0.0448,468.98,465.19,471.7399,468.73,0.2699,8034,0,0.0
MSFT,-0.1358,286.8399,286.33,290.4499,287.23,0.5191,442888,2,0.6
NVDA,-1.4447,275.61,274.89,280.0,279.66,0.5251,420921,10,2.45
META,0.149,213.3875,212.54,216.24,213.39,0.4677,512512,15,5.5
ENPH,-0.4442,201.7,198.65,203.2,202.89,0.3549,37367,0,0.85
TSLA,-1.7999,191.2644,190.6,198.7446,197.32,0.5921,890479,15,1.04
AAPL,-0.2455,165.762,165.418,166.83,166.595,0.4149,877179,7,2.74
IBM,-0.7269,131.1,131.04,132.13,131.99,0.347,51355,0,0.0
JPM,-1.84,127.765,127.41,130.57,130.5,0.5328,82528,1,3.09
EA,2.946,124.925,121.23,125.47,121.43,0.7986,20707,0,0.0
GOOGL,0.3163,104.6901,104.04,105.58,104.33,0.3973,160040,0,4.33
AMZN,0.6933,103.12,102.11,103.765,102.75,0.425,587774,10,1.89
AMD,-0.6524,95.93,95.73,97.27,97.038,0.4871,456534,10,-1.22
SONY,-0.6953,90.695,90.36,91.145,90.78,0.4485,2087,0,0.0
INTC,0.4409,33.035,32.91,33.84,32.85,0.8228,131179,0,3.08
CVNA,1.8332,9.4603,8.93,9.72,9.44,0.2779,23344,-1,-3.89
SOFI,-2.7363,5.865,5.835,6.095,6.1,0.3532,91855,3,-0.78
AMC,-23.3855,3.915,3.9,4.45,4.08,2.0885,412828,10,-3.84
