open,symbol,price,relvolume,high,low,percentchange,watchers,hourchange,sentiment
467.22,NOC,470.835,0.5536,473.58,467.85,0.5843,8036,0,0.0
285.85,MSFT,284.4,0.5843,287.145,282.95,-0.968,442943,3,-4.52
268.29,NVDA,268.63,0.9568,269.98,263.95,-2.1491,421046,11,-4.46
214.15,META,211.5401,0.5446,215.19,209.95,-1.481,512550,0,-4.2
200.0,ENPH,193.74,0.8384,201.62,187.73,-4.3448,37377,2,0.11
190.515,TSLA,185.48,0.7518,190.68,183.76,-3.6868,890598,6,-1.55
164.74,AAPL,163.82,0.6702,165.05,161.8,-1.0928,877248,5,-8.21
131.37,IBM,132.135,0.4187,132.61,131.47,0.4065,51359,1,0.0
126.8,JPM,127.57,0.609,128.14,126.46,0.1177,82526,0,3.17
125.24,EA,126.19,0.7325,126.27,124.85,0.7585,20706,0,8.33
105.78,GOOGL,104.52,0.6109,106.1,103.66,-0.191,160114,3,0.29
103.91,AMZN,101.05,0.5813,103.91,100.7506,-2.7898,587863,4,0.87
94.35,AMD,92.6,0.7872,94.5,91.36,-3.4109,456577,5,-2.92
89.9,SONY,89.64,0.7198,90.02,89.53,-1.5053,2087,0,0.0
32.795,INTC,32.825,0.7132,32.985,32.335,-0.8308,131191,4,-0.91
9.38,CVNA,8.495,0.3189,9.38,8.3901,-10.5789,23331,-1,-1.8
5.87,SOFI,5.745,0.786,5.87,5.5801,-2.4618,91867,-1,0.36
4.07,AMC,4.0309,0.7224,4.09,3.94,3.0921,412889,0,-1.9
