symbol,high,low,open,price,relvolume,percentchange,watchers,hourchange,sentiment
AAPL,167.41,165.65,166.1,166.47,0.6295,0.7505,878083,1,3.21
GOOGL,106.515,104.07,106.49,104.5,0.5757,-1.3872,160548,-2,-1.3
CVNA,9.285,8.76,9.22,8.8,0.2683,-2.8698,23302,1,-3.04
TSLA,187.69,183.5887,187.15,184.31,0.5393,-1.4596,891778,5,-0.77
META,220.44,216.215,219.91,217.89,0.3488,-0.4432,512939,-1,-0.63
JPM,141.775,139.03,140.27,141.4,0.8356,1.1228,82991,3,-0.05
EA,129.38,127.82,128.81,129.04,0.5166,0.7495,20704,-1,0.0
AMZN,104.2,101.52,103.95,102.3,0.555,-0.4283,588649,2,0.89
MSFT,291.6,287.02,291.57,288.37,0.5165,-0.1489,443612,8,3.43
ENPH,231.31,222.23,225.43,227.87,0.8254,1.3116,37487,-2,-1.75
NOC,483.31,475.77,475.74,479.47,0.6483,0.9857,8043,1,-12.5
IBM,128.68,127.35,128.14,127.78,0.4769,-0.0313,51381,1,-1.02
SOFI,6.02,5.895,6.0,5.98,0.4567,0.3356,91914,0,-0.8
SONY,91.86,90.995,91.57,91.31,0.8545,0.1755,2086,0,0.0
NVDA,281.0802,273.57,275.335,276.67,1.1798,2.4628,421847,6,-0.55
AMD,92.16,89.33,91.61,89.78,0.6994,-0.1001,456869,2,1.54
AMC,5.212,4.98,5.23,5.05,0.3403,-2.8846,413186,2,-2.37
INTC,32.46,31.785,32.43,31.83,0.4755,-0.9645,131272,-5,2.27
