open,low,relvolume,symbol,percentchange,price,high,watchers,hourchange,sentiment
166.1,165.65,0.6295,AAPL,0.7505,166.47,167.41,878098,4,3.87
106.49,104.07,0.5757,GOOGL,-1.3872,104.5,106.515,160554,0,-2.65
187.15,183.5887,0.5393,TSLA,-1.4596,184.31,187.69,891798,4,-0.73
9.22,8.76,0.2683,CVNA,-2.8698,8.8,9.285,23297,1,-4.14
219.91,216.215,0.3488,META,-0.4432,217.89,220.44,512946,-2,1.03
291.57,287.02,0.5165,MSFT,-0.1489,288.37,291.6,443620,1,4.77
140.27,139.03,0.8356,JPM,1.1228,141.4,141.78,82990,1,-0.52
225.43,222.23,0.8254,ENPH,1.3116,227.87,231.31,37486,0,-1.64
475.74,475.74,0.6483,NOC,0.9857,479.47,483.4,8043,0,-11.11
103.95,101.52,0.555,AMZN,-0.4283,102.3,104.2,588663,4,1.28
128.81,127.82,0.5166,EA,0.7495,129.04,129.38,20704,0,0.0
128.14,127.35,0.4769,IBM,-0.0313,127.78,128.68,51378,-1,-0.62
6.0,5.895,0.4567,SOFI,0.3356,5.98,6.02,91919,-1,-0.93
5.23,4.98,0.3403,AMC,-2.8846,5.05,5.212,413181,-3,-1.82
32.43,31.785,0.4755,INTC,-0.9645,31.83,32.46,131278,0,0.54
275.335,273.57,1.1798,NVDA,2.4628,276.67,281.0802,421845,0,-0.04
91.61,89.33,0.6994,AMD,-0.1001,89.78,92.16,456871,2,2.78
91.57,90.99,0.8545,SONY,0.1755,91.31,91.86,2087,0,0.0
