percentchange,open,price,high,symbol,relvolume,low,watchers,hourchange,sentiment
-1.4866,277.235,271.69,277.89,NVDA,0.5674,271.26,421363,5,1.17
1.2357,186.69,186.79,189.19,TSLA,0.6665,185.65,891121,-1,0.49
-0.4191,215.48,213.85,216.02,META,0.4677,213.43,512720,4,-2.05
-0.7591,162.35,160.8,162.36,AAPL,0.6091,160.51,877585,7,-4.09
-2.2022,100.8,99.92,100.99,AMZN,0.8239,99.01,588166,5,-5.82
-1.7354,476.12,468.27,476.12,NOC,0.5013,467.525,8039,0,13.33
0.4926,128.3,128.52,128.94,JPM,0.6398,127.54,82601,-1,1.62
0.0478,125.13,125.68,126.25,EA,0.4521,124.74,20704,0,-13.64
3.626,5.45,5.43,5.63,AMC,0.9069,5.25,413160,0,4.55
4.8335,9.79,9.76,10.85,CVNA,0.7987,9.6,23334,0,13.41
-2.2668,285.75,282.83,285.87,MSFT,0.7591,281.64,443222,0,-2.0
0.5516,195.9,196.88,199.04,ENPH,0.3554,193.14,37408,0,-0.29
-0.4655,130.58,130.42,131.105,IBM,0.4743,130.18,51365,0,-0.83
-0.5228,32.66,32.35,33.11,INTC,0.4705,32.32,131221,0,-9.79
0.4519,89.24,88.91,89.49,SONY,0.5067,88.83,2089,0,0.0
-1.0241,106.55,105.35,106.73,GOOGL,0.583,104.68,160315,0,-0.21
-1.5186,96.06,94.03,96.065,AMD,0.7947,92.7,456717,3,2.99
1.0152,5.91,5.97,6.02,SOFI,0.662,5.86,91912,-2,2.29
