relvolume,open,high,price,percentchange,symbol,low,watchers,hourchange,sentiment
0.7884,205.18,207.574,206.06,0.8714,META,203.55,512045,-15,0.97
0.6651,104.99,105.45,105.42,-0.1705,GOOGL,103.84,159717,2,-3.93
1.496,125.63,125.68,124.88,-1.5453,JPM,123.1163,82363,0,-0.56
0.6231,191.65,192.36,190.24,-1.0301,TSLA,187.15,889278,1,-1.41
1.3895,88.3,88.3,87.51,-0.861,SONY,86.96,2082,0,0.0
0.7919,445.08,456.2,455.17,2.4143,NOC,443.105,8013,0,-6.06
0.8619,270.31,271.67,267.974,-1.4475,NVDA,263.55,420189,4,-1.04
0.7429,277.24,280.59,280.52,1.03,MSFT,275.3,442243,5,-0.91
0.6983,158.86,160.29,160.29,0.8557,AAPL,157.85,876387,6,-2.25
1.0179,99.18,99.52,98.01,-2.2637,AMD,96.74,456183,-5,-3.28
0.2716,8.18,8.47,8.22,-1.5569,CVNA,7.95,23423,0,-0.9
0.8771,202.35,203.55,196.1,-4.1825,ENPH,192.46,37277,3,4.76
0.6283,123.36,125.4,125.33,1.5887,IBM,122.89,51325,0,-2.69
0.8715,118.08,119.205,119.07,2.6112,EA,117.61,20720,1,7.14
0.283,4.4,4.54,4.465,-0.1119,AMC,4.38,411924,0,-0.03
0.4643,5.675,5.83,5.745,-0.6055,SOFI,5.645,91705,0,-0.16
1.0801,29.04,29.81,29.388,1.2332,INTC,28.93,130871,2,-1.12
0.6949,98.065,98.295,98.12,-0.5977,AMZN,96.4,587041,1,-1.17
