low,percentchange,relvolume,open,high,price,symbol,watchers,hourchange,sentiment
287.02,-0.1489,0.5165,291.57,291.6,288.37,MSFT,443622,4,3.1
139.03,1.1228,0.8356,140.27,141.78,141.4,JPM,82988,-1,-0.29
127.82,0.7495,0.5166,128.81,129.38,129.04,EA,20704,0,0.0
475.74,0.9857,0.6483,475.74,483.4,479.47,NOC,8043,0,-8.33
222.23,1.3116,0.8254,225.43,231.31,227.87,ENPH,37486,0,-1.82
101.52,-0.4283,0.555,103.95,104.2,102.3,AMZN,588653,3,1.28
127.35,-0.0313,0.4769,128.14,128.68,127.78,IBM,51381,0,-1.19
5.895,0.3356,0.4567,6.0,6.02,5.98,SOFI,91917,-2,-0.76
90.99,0.1755,0.8545,91.57,91.86,91.31,SONY,2086,0,0.0
4.98,-2.8846,0.3403,5.23,5.212,5.05,AMC,413184,-4,-2.26
31.785,-0.9645,0.4755,32.43,32.46,31.83,INTC,131276,4,0.85
89.33,-0.1001,0.6994,91.61,92.16,89.78,AMD,456871,1,2.47
273.57,2.4628,1.1798,275.335,281.0802,276.67,NVDA,421850,3,-0.06
165.65,0.7505,0.6295,166.1,167.41,166.47,AAPL,878090,9,3.5
104.07,-1.3872,0.5757,106.49,106.515,104.5,GOOGL,160551,0,-2.52
183.5887,-1.4596,0.5393,187.15,187.69,184.31,TSLA,891795,4,-0.7
216.215,-0.4432,0.3488,219.91,220.44,217.89,META,512946,0,0.79
8.76,-2.8698,0.2683,9.22,9.285,8.8,CVNA,23300,0,-3.54
