relvolume,open,price,percentchange,low,symbol,high,watchers,hourchange,sentiment
0.4678,6.1,5.89,-2.3217,5.835,SOFI,6.095,91854,0,-0.4
1.059,32.85,33.1,0.6385,32.85,INTC,33.84,131182,0,2.99
0.702,130.5,128.42,-1.3368,127.41,JPM,130.57,82527,-2,5.61
0.6103,102.75,103.95,1.5038,102.11,AMZN,104.2,587783,7,2.17
0.5431,166.595,165.63,-0.325,165.11,AAPL,166.83,877173,-8,2.24
0.6652,287.23,287.18,-0.0174,285.67,MSFT,290.4499,442890,0,1.2
0.686,279.66,274.53,-1.8309,273.08,NVDA,280.0,420931,6,1.79
0.3915,468.73,468.1,-0.2323,465.0,NOC,471.94,8033,0,0.0
0.5141,104.33,104.72,0.345,104.04,GOOGL,105.58,160041,1,4.12
2.4701,4.08,3.91,-23.4834,3.88,AMC,4.45,412830,-3,-5.44
1.0756,121.43,125.24,3.2056,121.23,EA,125.47,20707,0,0.0
0.3434,9.44,9.5,2.2605,8.93,CVNA,9.72,23345,1,-1.79
0.5769,213.39,214.72,0.7744,212.54,META,216.24,512513,0,5.69
0.5043,131.99,131.6,-0.3483,130.9,IBM,132.13,51356,1,0.0
0.711,197.32,192.58,-1.1244,190.32,TSLA,198.7446,890496,10,0.83
0.6455,97.038,95.87,-0.7146,95.21,AMD,97.27,456542,1,-1.07
0.9783,90.78,91.01,-0.3504,90.36,SONY,91.145,2087,0,0.0
0.4624,202.89,202.54,-0.0296,198.65,ENPH,203.2,37369,2,0.34
