symbol,relvolume,percentchange,price,open,low,high,watchers,hourchange,sentiment
IBM,0.4743,-0.4846,130.395,130.58,130.18,131.1,51365,0,-0.83
SONY,0.5067,0.4745,88.93,89.24,88.83,89.48,2089,0,0.0
INTC,0.4705,-0.492,32.36,32.66,32.32,33.11,131221,0,-9.79
GOOGL,0.583,-1.01,105.365,106.55,104.68,106.73,160315,0,-0.21
AMD,0.7947,-1.4977,94.05,96.06,92.7,96.065,456717,3,2.99
SOFI,0.662,0.9306,5.965,5.91,5.86,6.02,91912,-2,2.29
NVDA,0.5674,-1.483,271.7,277.235,271.26,277.89,421363,5,1.17
TSLA,0.6665,1.214,186.75,186.69,185.65,189.19,891121,-1,0.49
META,0.4677,-0.4657,213.75,215.48,213.43,216.02,512720,4,-2.05
AAPL,0.6091,-0.7715,160.78,162.35,160.51,162.36,877585,7,-4.09
AMZN,0.8239,-2.1826,99.94,100.8,99.01,100.99,588166,5,-5.82
NOC,0.5013,-1.7816,468.05,476.12,467.525,476.01,8039,0,13.33
EA,0.4521,0.0398,125.67,125.13,124.74,126.25,20704,0,-13.64
JPM,0.6398,0.4926,128.52,128.3,127.54,128.935,82601,-1,1.62
AMC,0.9069,3.5305,5.425,5.45,5.25,5.63,413160,0,4.55
CVNA,0.7987,4.8335,9.76,9.79,9.6,10.8485,23334,0,13.41
MSFT,0.7591,-2.2634,282.84,285.75,281.64,285.87,443222,0,-2.0
ENPH,0.3554,0.5291,196.8359,195.9,193.14,199.04,37408,0,-0.29
