open,price,percentchange,relvolume,low,high,symbol,watchers,hourchange,sentiment
470.98,476.24,1.2436,0.3799,471.57,478.12,NOC,8041,0,-8.33
289.208,288.7282,-0.9848,0.5896,284.72,289.6,MSFT,443156,3,-0.89
268.23,275.65,1.9529,0.6756,266.69,276.2099,NVDA,421301,0,2.51
214.71,214.575,-0.7057,0.4187,210.66,215.66,META,512687,-1,-0.87
189.09,195.12,2.1571,0.3643,188.51,195.24,ENPH,37405,2,-1.82
179.94,184.2,-0.4647,0.7915,176.11,185.0994,TSLA,891036,1,-0.7
162.43,161.8104,-1.7306,0.5832,160.08,161.86,AAPL,877519,8,-2.8
129.83,130.98,0.3678,0.3241,129.24,131.0201,IBM,51367,0,-2.12
126.54,127.7087,0.1873,0.4936,126.22,128.22,JPM,82588,0,-2.58
124.79,125.615,0.3635,0.3046,123.74,125.8,EA,20704,0,8.08
106.98,106.485,-1.7847,0.5569,105.12,107.59,GOOGL,160292,4,-0.08
100.96,101.78,-0.2743,0.4672,99.57,102.02,AMZN,588086,7,-0.52
91.32,95.505,3.2821,0.7256,91.02,95.79,AMD,456692,3,7.34
87.76,88.269,0.1123,0.3371,87.73,88.4,SONY,2087,0,0.0
32.6,32.546,-0.8046,0.4254,32.2,32.76,INTC,131216,-4,0.51
9.0,9.33,3.5516,0.2948,8.63,9.35,CVNA,23319,0,1.53
5.69,5.91,2.7826,0.4917,5.66,5.92,SOFI,91904,1,0.46
4.77,5.25,7.1429,1.1769,4.74,5.37,AMC,413139,-2,0.7
