open,low,symbol,percentchange,high,relvolume,price,watchers,hourchange,sentiment
459.38,457.495,NOC,0.5599,462.58,0.4154,461.57,8021,0,25.0
5.69,5.65,SOFI,2.8623,5.9199,0.7071,5.75,91762,2,-1.08
130.1,127.77,JPM,0.2017,130.22,0.9598,129.14,82460,1,-0.93
98.69,98.5801,AMZN,3.0954,100.4218,0.6207,100.25,587352,2,1.22
268.25,265.97,NVDA,2.1734,270.77,0.7093,269.84,420470,0,-1.37
196.75,191.385,ENPH,5.3896,205.77,0.7832,203.95,37308,1,-0.62
102.28,100.655,GOOGL,0.3563,102.43,0.6183,101.39,159836,0,4.31
5.14,4.83,AMC,-2.9126,5.2084,0.765,5.0,412480,-5,-0.59
86.93,86.74,SONY,2.3887,88.02,1.1442,87.87,2084,0,0.0
96.07,94.87,AMD,1.618,96.91,0.8339,96.09,456332,0,-0.21
29.77,29.789,INTC,7.6135,31.89,1.6683,31.52,130911,8,7.05
7.47,7.3616,CVNA,6.9293,7.9,0.2295,7.87,23365,1,-7.63
193.13,189.44,TSLA,2.479,195.28,0.674,193.88,889638,9,0.48
118.08,118.08,EA,0.9914,119.325,0.4098,119.19,20708,-1,0.0
130.12,129.18,IBM,0.2861,130.35,0.4977,129.71,51343,-1,0.76
159.37,159.35,AAPL,1.9791,161.04,0.6109,160.77,876718,11,-0.3
278.96,278.41,MSFT,1.9184,281.1398,0.5914,280.51,442530,0,-1.71
203.56,202.54,META,2.3271,205.72,0.5083,205.35,512243,1,0.12
