low,price,symbol,high,percentchange,open,relvolume,watchers,hourchange,sentiment
216.215,217.89,META,220.44,-0.4432,219.91,0.3488,512946,0,0.79
8.76,8.8,CVNA,9.285,-2.8698,9.22,0.2683,23300,0,-3.54
139.03,141.4,JPM,141.78,1.1228,140.27,0.8356,82988,-1,-0.29
287.02,288.37,MSFT,291.6,-0.1489,291.57,0.5165,443622,4,3.1
127.82,129.04,EA,129.38,0.7495,128.81,0.5166,20704,0,0.0
475.74,479.47,NOC,483.4,0.9857,475.74,0.6483,8043,0,-8.33
222.23,227.87,ENPH,231.31,1.3116,225.43,0.8254,37486,0,-1.82
101.52,102.3,AMZN,104.2,-0.4283,103.95,0.555,588653,3,1.28
127.35,127.78,IBM,128.68,-0.0313,128.14,0.4769,51381,0,-1.19
5.895,5.98,SOFI,6.02,0.3356,6.0,0.4567,91917,-2,-0.76
90.99,91.31,SONY,91.86,0.1755,91.57,0.8545,2086,0,0.0
4.98,5.05,AMC,5.212,-2.8846,5.23,0.3403,413184,-4,-2.26
89.33,89.78,AMD,92.16,-0.1001,91.61,0.6994,456871,1,2.47
273.57,276.67,NVDA,281.0802,2.4628,275.335,1.1798,421850,3,-0.06
31.785,31.83,INTC,32.46,-0.9645,32.43,0.4755,131276,4,0.85
165.65,166.47,AAPL,167.41,0.7505,166.1,0.6295,878090,9,3.5
104.07,104.5,GOOGL,106.515,-1.3872,106.49,0.5757,160551,0,-2.52
183.5887,184.31,TSLA,187.69,-1.4596,187.15,0.5393,891795,4,-0.7
