low,symbol,open,percentchange,high,price,relvolume,watchers,hourchange,sentiment
118.08,EA,118.08,0.9744,119.325,119.17,0.4098,20708,-1,0.0
129.18,IBM,130.12,0.2783,130.348,129.7,0.4977,51343,-1,0.76
159.35,AAPL,159.37,1.9029,161.04,160.65,0.6109,876718,11,-0.3
278.41,MSFT,278.96,1.8821,281.1398,280.41,0.5914,442530,0,-1.71
457.495,NOC,459.38,0.5697,462.27,461.615,0.4154,8021,0,25.0
202.54,META,203.56,2.2822,205.72,205.26,0.5083,512243,1,0.12
265.97,NVDA,268.25,2.1658,270.77,269.82,0.7093,420470,0,-1.37
5.65,SOFI,5.69,2.8623,5.9199,5.75,0.7071,91762,2,-1.08
127.77,JPM,130.1,0.2017,130.22,129.14,0.9598,82460,1,-0.93
98.5801,AMZN,98.69,3.0389,100.4218,100.195,0.6207,587352,2,1.22
100.655,GOOGL,102.28,0.2672,102.43,101.3,0.6183,159836,0,4.31
191.385,ENPH,196.75,5.3896,205.77,203.95,0.7832,37308,1,-0.62
86.74,SONY,86.93,2.3538,88.0,87.84,1.1442,2084,0,0.0
94.87,AMD,96.07,1.5651,96.91,96.04,0.8339,456332,0,-0.21
4.83,AMC,5.14,-3.0408,5.2084,4.9934,0.765,412480,-5,-0.59
29.789,INTC,29.77,7.5623,31.89,31.505,1.6683,130911,8,7.05
189.44,TSLA,193.13,2.4737,195.28,193.87,0.674,889638,9,0.48
7.37,CVNA,7.47,6.8057,7.9,7.8609,0.2295,23365,1,-7.63
