relvolume,low,symbol,price,percentchange,open,high,watchers,hourchange,sentiment
0.6939,204.67,ENPH,208.9,-0.3767,209.77,214.57,37428,2,-3.02
0.4028,127.45,EA,127.87,-0.3196,127.98,128.53,20705,0,0.0
0.8867,90.412,SONY,90.86,0.4089,90.85,91.46,2088,0,0.0
0.5598,182.01,TSLA,185.0,-0.4841,183.95,186.28,891431,-4,0.43
0.4201,31.69,INTC,31.89,-0.747,32.0,32.235,131242,1,-1.3
0.9005,4.9,AMC,5.12,-6.2271,5.74,5.75,413215,0,-0.68
0.6398,5.77,SOFI,5.92,1.0239,5.99,6.03,91903,3,-1.02
0.3372,468.765,NOC,472.57,-0.3353,470.55,473.09,8040,0,0.0
0.7461,262.2,NVDA,267.58,1.1148,265.04,268.83,421598,-4,-0.7
0.5743,283.69,MSFT,286.14,-1.2766,287.0,288.48,443406,3,-0.17
0.3345,8.68,CVNA,8.97,-4.2689,9.47,9.798,23324,-1,-2.42
0.5911,90.5,AMD,91.75,-0.3692,91.82,92.97,456773,4,0.49
0.7199,101.11,AMZN,102.51,0.1074,102.07,103.2013,588482,4,1.49
0.6378,217.56,META,221.49,0.5174,217.88,222.11,512857,3,1.17
0.6373,127.31,IBM,128.14,0.1876,128.46,129.84,51370,0,-6.18
0.566,106.88,GOOGL,108.87,1.3404,106.89,108.935,160403,1,-0.64
0.6406,163.83,AAPL,165.21,-0.2114,164.59,166.32,877861,2,1.43
3.0765,134.9001,JPM,138.73,7.551,135.15,139.12,82946,10,5.37
