open,relvolume,symbol,price,percentchange,high,low,watchers,hourchange,sentiment
458.31,0.2589,NOC,458.72,0.1026,461.5,457.59,8016,0,-2.78
275.79,0.5205,MSFT,274.24,-0.7743,276.13,272.05,442486,4,-2.62
264.47,0.628,NVDA,262.88,-0.9159,265.13,258.5,420423,3,-0.39
200.15,0.4832,META,200.0403,-1.3803,200.43,197.9,512220,-3,-3.47
196.0,0.3248,ENPH,192.615,-1.6417,196.515,190.624,37298,-1,-3.4
192.0,0.5067,TSLA,188.9499,-1.4911,192.35,185.43,889585,16,-3.02
157.97,0.5036,AAPL,157.26,-0.6444,158.1277,155.98,876656,3,-2.51
129.18,0.3987,IBM,129.1,-0.1624,129.66,128.8,51344,0,3.35
128.71,0.68,JPM,128.57,0.0623,129.3417,127.75,82450,-1,-1.89
118.085,0.436,EA,117.995,-0.5437,118.4425,117.38,20715,0,-1.01
102.44,0.6476,GOOGL,100.92,-1.503,102.4,99.7401,159817,0,-4.76
98.11,0.4503,AMZN,96.99,-1.071,98.44,96.29,587260,7,-1.74
96.77,0.8494,AMD,94.08,-2.6188,96.93,92.87,456309,2,-1.22
86.11,0.6352,SONY,85.9,-0.8541,86.6682,85.745,2081,0,0.0
29.075,0.5492,INTC,29.145,-0.1199,29.23,28.63,130891,0,-0.81
7.57,0.2013,CVNA,7.445,-2.2966,7.72,7.22,23387,-7,-0.32
5.74,0.5226,SOFI,5.575,-3.2118,5.79,5.51,91755,0,0.53
4.51,2.3023,AMC,4.9831,9.5187,5.5,4.46,412081,107,-0.37
