high,price,open,symbol,relvolume,percentchange,low,watchers,hourchange,sentiment
185.0994,184.51,179.94,TSLA,0.8207,-0.2972,176.11,891045,2,-0.17
125.8,125.62,124.79,EA,0.3892,0.3675,123.74,20703,0,4.44
9.35,9.31,9.0,CVNA,0.3262,3.3296,8.62,23315,0,3.53
289.6,289.39,289.208,MSFT,0.6369,-0.7579,284.72,443170,6,-1.93
102.2,102.17,100.96,AMZN,0.5167,0.1078,99.57,588100,2,-0.86
5.37,5.24,4.77,AMC,1.2692,6.9388,4.74,413136,-2,0.88
195.9,195.8,189.09,ENPH,0.4136,2.5131,188.51,37407,0,-1.76
478.17,476.54,470.98,NOC,0.4565,1.3074,470.98,8041,0,-16.67
95.79,95.48,91.32,AMD,0.7903,3.2551,91.02,456699,3,9.14
5.92,5.91,5.69,SOFI,0.5343,2.7826,5.66,91909,2,1.07
128.23,127.89,126.54,JPM,0.5624,0.3295,126.22,82595,4,-2.49
162.03,162.03,161.42,AAPL,0.6369,-1.5972,160.08,877529,0,-4.02
276.2099,275.79,268.23,NVDA,0.7128,2.0047,266.69,421311,-5,2.19
215.66,214.75,214.71,META,0.4571,-0.6247,210.66,512691,1,-1.4
107.59,106.44,106.98,GOOGL,0.6059,-1.8262,105.12,160301,2,0.22
88.52,88.51,87.76,SONY,0.4657,0.3856,87.73,2088,0,0.0
32.76,32.52,32.6,INTC,0.4854,-0.8839,32.2,131212,1,-1.27
131.08,131.03,129.83,IBM,0.3796,0.4061,129.24,51364,0,-1.29
