high,open,percentchange,price,relvolume,symbol,low,watchers,hourchange,sentiment
87.47,87.25,0.1505,86.52,1.0052,SONY,86.18,2077,0,33.33
156.74,156.08,-0.5454,155.0,0.9896,AAPL,154.28,875807,3,4.79
200.7,200.7,-8.6822,183.64,1.684,ENPH,181.55,37117,4,-3.02
263.99,259.82,0.7204,257.25,1.3828,NVDA,256.68,419189,1,2.84
7.9,7.21,3.2389,7.65,0.4207,CVNA,7.02,23308,0,0.37
124.52,124.08,-0.8099,123.69,2.0994,IBM,122.93,51324,1,1.4
186.21,184.515,-2.1724,180.13,0.6722,TSLA,177.33,888626,0,1.2
98.75,96.66,1.2836,97.84,1.4973,AMD,95.94,455823,2,-0.53
283.33,278.26,1.1694,279.43,1.7577,MSFT,276.3201,441744,0,-1.37
128.45,128.38,-3.7782,125.81,2.2173,JPM,125.46,82038,3,4.4
201.9,200.56,-4.5479,195.61,1.116,META,195.4304,511611,2,-1.09
4.34,4.3,-4.7836,4.18,0.6185,AMC,4.1078,411722,-11,-0.12
5.54,5.47,0.1835,5.46,0.6642,SOFI,5.33,91542,-2,5.23
450.16,449.81,-1.4551,443.6,0.8804,NOC,441.305,7998,1,3.41
114.0,113.65,-0.1585,113.35,0.7406,EA,112.98,20735,0,-25.0
100.65,99.79,-1.0896,98.95,0.8764,AMZN,97.455,586552,3,2.43
102.835,100.26,1.2959,101.62,1.2376,GOOGL,100.1,159516,0,1.29
30.56,29.92,-1.226,29.81,1.0943,INTC,29.44,130795,1,-4.15
