open,low,symbol,price,high,relvolume,percentchange,watchers,hourchange,sentiment
88.7,88.64,SONY,89.33,89.53,1.4544,1.6615,2082,1,0.0
130.16,129.1,IBM,129.18,131.47,0.5487,-0.4086,51348,0,8.71
284.23,281.5,MSFT,284.02,284.46,0.6427,1.2513,442596,3,2.12
195.58,194.42,TSLA,195.19,197.328,0.6092,0.6757,889736,-2,5.7
120.0,118.85,EA,119.1,120.05,0.5217,-0.0755,20710,0,5.56
5.11,4.87,AMC,4.93,5.16,0.5325,-1.4,412480,-10,0.95
8.08,8.079,CVNA,8.83,9.0,0.5721,12.1982,23364,-2,-5.37
272.29,271.02,NVDA,273.91,274.99,0.6652,1.5083,420566,1,5.05
161.53,161.271,AAPL,162.3,162.47,0.5827,0.9517,876782,7,5.16
209.435,203.96,ENPH,205.13,214.19,0.6629,0.5786,37321,2,-2.15
129.95,127.65,JPM,128.765,130.12,0.7826,-0.2904,82474,-1,2.99
203.38,202.85,META,207.82,208.09,0.6432,1.2028,512294,0,6.27
100.91,99.78,GOOGL,100.81,101.155,0.6807,-0.572,159881,0,3.75
5.87,5.62,SOFI,5.725,5.93,0.6344,-0.4348,91769,-6,-0.21
31.85,31.81,INTC,32.075,32.58,1.4198,1.7608,131051,-4,9.96
98.0,97.25,AMD,97.88,99.53,0.8812,1.8628,456364,0,-1.07
460.46,458.615,NOC,460.84,462.865,0.3938,-0.1582,8023,0,0.0
101.55,101.01,AMZN,101.96,103.04,0.6777,1.7057,587436,2,5.02
