relvolume,symbol,high,price,percentchange,open,low,watchers,hourchange,sentiment
0.3629,NOC,454.66,449.26,0.0,453.79,447.07,8009,0,0.0
0.738,MSFT,274.95,272.89,0.2424,274.88,269.53,441998,3,0.61
0.9188,NVDA,263.5,263.03,1.556,261.8,253.82,419540,9,0.06
1.0329,ENPH,208.825,207.9739,8.0328,196.93,195.44,37220,4,3.22
0.7984,META,203.515,201.8301,2.0323,203.2,197.96,511808,5,1.45
0.7243,TSLA,197.99,197.0003,7.5036,188.28,188.04,888963,14,-0.61
0.7004,AAPL,159.1,158.78,0.8767,157.32,156.54,876120,6,1.85
0.9801,JPM,131.73,130.585,2.7096,130.59,130.19,82252,0,-0.12
0.4095,IBM,127.08,126.3,0.2859,126.9,125.66,51324,0,4.9
0.5907,EA,114.91,114.745,1.0791,113.11,113.11,20730,-1,-8.33
0.7943,GOOGL,105.0996,104.63,3.3689,101.25,101.22,159617,6,-1.7
0.6221,AMZN,100.55,100.45,2.8042,98.14,98.0,586861,10,1.33
1.2634,AMD,99.46,96.4,-0.4235,97.0,93.64,455984,-3,-1.43
0.6075,SONY,89.44,89.43,1.1423,89.08,88.71,2079,0,0.0
0.9423,INTC,29.165,28.5625,-2.049,29.0,27.975,130844,-3,-0.14
0.3123,CVNA,8.09,7.755,9.6888,7.19,7.18,23283,1,-0.67
0.6274,SOFI,5.6,5.5997,7.2739,5.35,5.3243,91593,4,-0.27
0.4054,AMC,4.445,4.4,3.0445,4.33,4.2115,411743,2,0.98
