price,high,symbol,low,open,relvolume,percentchange,watchers,hourchange,sentiment
196.03,201.26,ENPH,195.81,199.9,0.4414,-0.4317,37409,0,2.25
97.83,100.51,AMZN,97.705,100.4,0.7773,-2.0917,588268,10,-0.64
104.64,106.75,GOOGL,104.34,106.58,0.5099,-0.6739,160343,0,0.11
32.02,32.89,INTC,31.96,32.77,0.5877,-1.0201,131233,-1,-6.78
5.82,6.05,SOFI,5.67,6.06,0.9555,-2.5126,91917,-1,-0.5
472.77,474.7299,NOC,466.03,467.43,0.4255,0.961,8038,0,0.0
128.54,130.87,IBM,128.18,130.4,0.6074,-1.4415,51368,1,-2.42
283.49,287.01,MSFT,281.96,284.79,0.7301,0.2334,443297,3,-0.96
126.13,127.1812,EA,125.82,126.28,0.4105,0.3581,20702,0,-16.67
92.33,94.995,AMD,91.74,94.97,0.8136,-1.8079,456750,5,6.1
160.1,162.06,AAPL,159.78,161.22,0.6508,-0.4353,877684,0,0.61
9.24,10.32,CVNA,8.79,9.79,0.5844,-5.3279,23329,-1,5.68
5.34,5.74,AMC,5.34,5.62,0.827,-1.6575,413218,5,0.36
89.44,90.4,SONY,89.29,90.0,0.4882,0.5961,2089,0,0.0
128.5,130.43,JPM,128.0603,129.18,0.66,-0.0156,82620,4,-2.58
180.54,191.58,TSLA,180.31,190.74,0.8639,-3.346,891221,4,-0.24
214.0,216.84,META,212.584,214.835,0.5478,0.0701,512762,4,-1.37
264.95,274.63,NVDA,264.4786,273.7,0.8408,-2.4808,421433,4,0.6
