low,percentchange,relvolume,price,open,high,symbol,watchers,hourchange,sentiment
4.865,-0.6,0.5325,4.97,5.11,5.16,AMC,412470,2,0.5
161.271,0.989,0.5827,162.36,161.53,162.47,AAPL,876778,4,4.74
281.5,1.262,0.6427,284.05,284.23,284.46,MSFT,442607,1,-0.12
202.85,1.2126,0.6432,207.84,203.38,208.09,META,512302,-1,5.99
203.96,0.6472,0.6629,205.27,209.435,214.19,ENPH,37321,0,-2.62
127.65,-0.302,0.7826,128.75,129.95,130.12,JPM,82478,1,1.05
99.78,-0.4931,0.6807,100.89,100.91,101.155,GOOGL,159894,0,2.76
5.62,-0.5217,0.6344,5.72,5.87,5.93,SOFI,91774,3,-1.45
31.81,1.8084,1.4198,32.09,31.85,32.58,INTC,131060,1,3.85
101.01,1.7456,0.6777,102.0,101.55,103.04,AMZN,587433,5,2.57
97.25,1.8628,0.8812,97.88,98.0,99.53,AMD,456364,0,-2.48
458.5,-0.1278,0.3938,460.98,460.46,462.92,NOC,8022,-1,0.0
129.1,-0.3778,0.5487,129.22,130.16,131.48,IBM,51342,-1,6.76
118.85,-0.0755,0.5217,119.1,120.0,120.05,EA,20709,-1,5.56
8.0748,12.1982,0.5721,8.83,8.08,9.0,CVNA,23363,1,-4.27
194.42,0.7221,0.6092,195.28,195.58,197.328,TSLA,889773,9,4.28
271.02,1.4787,0.6652,273.83,272.29,274.99,NVDA,420573,0,1.86
88.555,1.6388,1.4544,89.31,88.7,89.53,SONY,2082,0,0.0
