low,symbol,high,relvolume,open,percentchange,price,watchers,hourchange,sentiment
127.14,EA,128.42,0.4493,127.37,0.1642,128.08,20703,-1,-10.0
264.36,NVDA,270.06,0.5878,265.655,0.9119,270.02,421747,0,-1.18
8.68,CVNA,9.2192,0.273,8.91,1.0033,9.06,23313,1,-1.03
5.1301,AMC,5.3,0.3666,5.24,1.5625,5.2,413211,0,-1.77
88.3,AMD,90.69,0.7217,90.23,-2.049,89.87,456854,2,-2.95
5.81,SOFI,6.0,0.6655,5.89,0.6757,5.96,91926,5,0.09
217.13,META,220.979,0.4402,219.79,-1.1874,218.86,512929,2,0.06
137.66,JPM,140.06,1.0164,139.95,0.7929,139.83,82978,0,0.6
164.03,AAPL,165.39,0.5412,165.09,0.0121,165.23,878021,6,2.85
126.8,IBM,128.72,0.5124,128.3,-0.2497,127.82,51377,0,-5.04
182.7,TSLA,189.69,0.6825,186.32,1.1027,187.04,891685,3,0.25
471.38,NOC,477.68,0.4391,472.99,0.4698,474.79,8041,0,6.35
104.52,GOOGL,106.155,0.816,104.658,-2.6637,105.97,160537,0,-11.87
31.77,INTC,32.64,0.5168,31.95,0.7839,32.14,131274,0,3.84
90.35,SONY,91.23,0.9083,90.55,0.3192,91.15,2088,0,0.0
286.2,MSFT,291.58,0.6118,289.93,0.9296,288.8,443566,3,2.26
214.7801,ENPH,229.23,1.7249,215.0,7.6687,224.92,37479,-2,3.56
101.59,AMZN,103.73,0.5299,103.16,0.2244,102.74,588626,4,0.06
