percentchange,symbol,open,high,low,relvolume,price,watchers,hourchange,sentiment
0.3321,NOC,472.0,476.065,469.78,0.3826,474.34,8037,-1,-8.57
2.2329,MSFT,283.59,289.9,283.17,0.602,289.82,443338,-1,-1.85
-0.1472,NVDA,267.34,268.869,263.29,0.6485,264.56,421491,5,-3.13
2.9533,META,215.73,221.15,215.82,0.6771,220.32,512791,5,1.88
6.9989,ENPH,200.01,211.55,198.52,0.9909,209.7499,37416,-3,-2.01
2.9467,TSLA,182.955,186.5,180.94,0.6485,185.86,891313,6,-0.16
3.4166,AAPL,161.63,165.8,161.44,0.8567,165.57,877738,10,1.43
0.3424,JPM,128.46,129.035,126.84,0.7779,128.94,82673,15,-5.33
1.7204,EA,126.58,128.72,126.58,0.4634,128.3,20703,0,0.0
-0.4823,IBM,128.01,128.39,126.01,0.8901,127.92,51365,-2,5.26
2.6758,GOOGL,105.84,107.49,105.9,0.5101,107.44,160364,4,-0.77
4.702,AMZN,98.95,102.56,98.73,0.9312,102.43,588365,15,4.23
-0.3249,AMD,92.79,93.16,91.83,0.6105,92.03,456754,2,1.81
1.174,SONY,90.1,90.83,90.0,0.7734,90.49,2088,0,0.0
0.2655,INTC,31.82,32.4252,31.65,0.474,32.105,131230,0,1.39
1.4069,CVNA,9.27,9.76,9.201,0.3162,9.37,23334,-2,0.35
0.5155,SOFI,5.91,5.98,5.825,0.5437,5.85,91913,-6,0.89
2.1536,AMC,5.48,5.66,5.39,0.5092,5.455,413217,-1,-3.34
