high,price,symbol,open,relvolume,low,percentchange,watchers,hourchange,sentiment
462.865,461.77,NOC,460.46,0.2627,458.615,0.0433,8020,0,0.0
284.46,283.35,MSFT,284.23,0.5331,281.5,1.0124,442588,4,2.32
274.99,273.565,NVDA,272.29,0.5626,271.02,1.3804,420558,0,2.24
208.09,207.02,META,203.38,0.5523,202.85,0.8132,512290,3,3.5
214.19,206.255,ENPH,209.435,0.5781,203.96,1.1302,37319,0,-2.23
197.328,195.67,TSLA,195.58,0.5391,194.42,0.9233,889734,0,4.23
162.47,162.06,AAPL,161.53,0.4871,161.271,0.8024,876772,0,4.52
131.47,129.23,IBM,130.16,0.4134,129.15,-0.3701,51348,0,8.38
130.12,128.4099,JPM,129.95,0.6464,127.65,-0.5654,82475,-1,3.22
120.05,118.9926,EA,120.0,0.3819,118.85,-0.1656,20710,0,5.56
103.04,101.7999,AMZN,101.55,0.5869,101.01,1.546,587427,7,6.76
100.96,100.6575,GOOGL,100.91,0.556,99.78,-0.7225,159879,0,3.16
99.53,97.87,AMD,98.0,0.7615,97.25,1.8524,456360,4,-4.65
89.53,89.34,SONY,88.7,1.1862,88.64,1.6729,2081,0,0.0
32.58,32.145,INTC,31.85,1.2002,31.81,1.9829,131059,5,12.24
9.0,8.59,CVNA,8.08,0.5046,8.079,9.1487,23365,0,-6.96
5.93,5.7,SOFI,5.87,0.5301,5.62,-0.8696,91777,0,-0.06
5.16,4.89,AMC,5.11,0.4763,4.87,-2.2,412494,0,1.11
