open,relvolume,price,percentchange,symbol,low,high,watchers,hourchange,sentiment
476.12,0.37,469.655,-1.4448,NOC,469.0688,476.01,8039,0,5.0
285.75,0.6591,283.74,-1.9524,MSFT,281.64,285.87,443222,11,-2.01
277.235,0.4971,273.6,-0.7941,NVDA,271.26,277.89,421358,5,-0.42
215.48,0.4108,214.79,0.0186,META,213.83,216.02,512716,1,-2.07
195.9,0.2959,197.75,0.9959,ENPH,193.14,199.04,37408,-2,-0.86
186.69,0.6031,188.19,1.9945,TSLA,185.65,189.19,891122,8,-0.07
162.35,0.5053,161.5108,-0.3204,AAPL,160.51,162.36,877578,5,-4.72
130.58,0.3614,131.035,0.0038,IBM,130.18,131.095,51365,1,0.0
128.3,0.5328,128.755,0.6764,JPM,127.54,128.93,82602,0,0.17
125.13,0.3464,126.01,0.3105,EA,124.74,126.25,20704,0,-1.14
106.55,0.5027,106.065,-0.3523,GOOGL,104.68,106.73,160315,2,-0.08
100.8,0.7198,100.53,-1.6052,AMZN,99.01,100.99,588161,7,-5.29
96.06,0.7114,94.45,-1.0788,AMD,92.7,96.065,456714,0,3.47
89.24,0.3902,89.24,0.8248,SONY,88.98,89.48,2089,0,0.0
32.66,0.3781,32.545,0.0769,INTC,32.45,33.11,131221,-2,-10.6
9.79,0.7241,9.8193,5.4705,CVNA,9.6,10.8485,23334,2,13.41
5.91,0.5672,6.005,1.6074,SOFI,5.86,6.01,91914,0,2.29
5.45,0.8055,5.5515,5.9447,AMC,5.25,5.63,413160,4,4.39
