open,relvolume,percentchange,symbol,price,high,low,watchers,hourchange,sentiment
459.38,0.4154,0.5599,NOC,461.57,462.58,457.495,8021,0,25.0
130.1,0.9598,0.2017,JPM,129.14,130.22,127.77,82460,1,-0.93
5.69,0.7071,2.8623,SOFI,5.75,5.9199,5.65,91762,2,-1.08
268.25,0.7093,2.1734,NVDA,269.84,270.77,265.97,420470,0,-1.37
5.14,0.765,-2.9126,AMC,5.0,5.2084,4.83,412480,-5,-0.59
196.75,0.7832,5.3896,ENPH,203.95,205.77,191.385,37308,1,-0.62
86.93,1.1442,2.3887,SONY,87.87,88.0,86.74,2084,0,0.0
96.07,0.8339,1.618,AMD,96.09,96.91,94.87,456332,0,-0.21
29.77,1.6683,7.6135,INTC,31.52,31.89,29.789,130911,8,7.05
193.13,0.674,2.479,TSLA,193.88,195.28,189.44,889638,9,0.48
7.47,0.2295,6.9293,CVNA,7.87,7.9,7.37,23365,1,-7.63
118.08,0.4098,0.9914,EA,119.19,119.325,118.08,20708,-1,0.0
278.96,0.5914,1.9184,MSFT,280.51,281.1398,278.41,442530,0,-1.71
159.37,0.6109,1.9791,AAPL,160.77,161.04,159.35,876718,11,-0.3
130.12,0.4977,0.2861,IBM,129.71,130.348,129.18,51343,-1,0.76
203.56,0.5083,2.3271,META,205.35,205.72,202.54,512243,1,0.12
98.69,0.6207,3.0954,AMZN,100.25,100.4218,98.5801,587352,2,1.22
102.28,0.6183,0.3563,GOOGL,101.39,102.43,100.655,159836,0,4.31
