low,price,relvolume,percentchange,high,symbol,open,watchers,hourchange,sentiment
471.57,475.9066,0.3256,1.1728,478.12,NOC,470.98,8041,-1,-8.33
284.72,288.96,0.5542,-0.9053,289.6,MSFT,289.208,443153,5,-1.03
266.69,275.84,0.6419,2.0232,276.2099,NVDA,268.23,421301,10,1.54
210.66,215.03,0.391,-0.4951,215.66,META,214.71,512688,2,-1.05
188.51,194.905,0.3423,2.0445,195.2,ENPH,189.09,37403,0,-1.46
176.11,184.41,0.7507,-0.3512,185.0994,TSLA,179.94,891035,15,-1.29
160.08,161.645,0.5491,-1.831,161.86,AAPL,162.43,877511,14,-2.28
129.24,130.88,0.2864,0.2912,131.02,IBM,129.83,51367,0,-0.93
126.22,127.64,0.4527,0.1334,128.22,JPM,126.54,82588,5,-2.19
123.74,125.56,0.2766,0.3196,125.75,EA,124.79,20704,0,8.08
105.12,106.49,0.5285,-1.7801,107.59,GOOGL,106.98,160288,7,-0.26
99.57,101.958,0.4428,-0.0999,102.02,AMZN,100.96,588079,10,-0.49
91.02,95.65,0.6798,3.439,95.79,AMD,91.32,456689,7,5.97
87.73,88.38,0.3,0.2382,88.385,SONY,87.76,2087,0,0.0
32.2,32.535,0.3935,-0.8382,32.76,INTC,32.6,131220,0,0.83
8.63,9.2301,0.2795,2.4428,9.35,CVNA,9.0,23319,-4,1.19
5.66,5.905,0.4532,2.6957,5.92,SOFI,5.69,91903,1,0.35
4.74,5.285,1.1173,7.8571,5.37,AMC,4.77,413141,1,0.56
