low,relvolume,percentchange,symbol,open,price,high,watchers,hourchange,sentiment
160.51,0.6091,-0.7591,AAPL,162.35,160.8,162.36,877600,4,-3.84
99.01,0.8239,-2.2022,AMZN,100.8,99.92,100.99,588179,8,-5.58
467.525,0.5013,-1.7354,NOC,476.12,468.27,476.12,8038,0,13.33
124.74,0.4521,0.0478,EA,125.13,125.68,126.25,20704,0,-10.0
127.54,0.6398,0.4926,JPM,128.3,128.52,128.94,82602,1,1.62
9.6,0.7987,4.8335,CVNA,9.79,9.76,10.85,23335,1,12.2
5.25,0.9069,3.626,AMC,5.45,5.43,5.63,413162,0,4.62
281.64,0.7591,-2.2668,MSFT,285.75,282.83,285.87,443230,2,-1.27
193.14,0.3554,0.5516,ENPH,195.9,196.88,199.04,37408,0,-0.54
92.7,0.7947,-1.5186,AMD,96.06,94.03,96.065,456726,5,2.93
32.32,0.4705,-0.5228,INTC,32.66,32.35,33.11,131221,1,-9.96
88.83,0.5067,0.4519,SONY,89.24,88.91,89.49,2089,0,0.0
104.68,0.583,-1.0241,GOOGL,106.55,105.35,106.73,160321,0,-0.74
130.18,0.4743,-0.4655,IBM,130.58,130.42,131.105,51365,0,0.0
5.86,0.662,1.0152,SOFI,5.91,5.97,6.02,91914,3,2.79
271.26,0.5674,-1.4866,NVDA,277.235,271.69,277.89,421372,2,0.95
213.43,0.4677,-0.4191,META,215.48,213.85,216.02,512721,0,-3.23
185.65,0.6665,1.2357,TSLA,186.69,186.79,189.19,891135,0,0.29
