open,low,symbol,high,percentchange,price,relvolume,watchers,hourchange,sentiment
478.4,472.07,NOC,478.4,-0.872,472.91,0.3469,8043,-1,14.62
285.25,285.08,MSFT,289.03,-1.1302,285.19,0.5258,443677,0,1.1
276.71,270.34,NVDA,280.3,-3.1113,270.6199,0.6949,421993,4,4.33
220.5,219.31,ENPH,226.26,-0.3701,223.44,0.48,37475,2,0.81
213.48,213.07,META,216.75,-1.1868,213.14,0.3755,512981,0,-0.52
166.09,165.56,AAPL,167.87,-1.1871,165.64,0.5928,878264,3,2.91
166.165,160.56,TSLA,169.55,-10.7481,161.18,1.1648,892406,26,-10.41
139.91,140.17,JPM,141.4299,-0.3533,140.7211,0.4893,82976,0,0.34
128.28,128.15,EA,129.56,0.1638,128.39,0.411,20703,0,0.0
130.15,125.84,IBM,130.98,0.001,126.3213,1.5351,51491,0,-1.32
103.91,103.8684,GOOGL,106.25,0.4271,104.625,0.4992,160581,7,-1.86
103.53,103.21,AMZN,105.24,-0.989,103.2685,0.7071,588817,7,-0.15
90.97,90.915,SONY,92.275,0.3408,91.28,0.5746,2091,0,0.0
88.825,88.75,AMD,91.575,-0.4114,89.57,0.6476,456930,3,-1.3
30.76,30.71,INTC,31.25,-1.1557,30.79,0.4237,131297,-1,2.6
8.3,7.91,CVNA,8.51,-7.7729,7.9592,0.3168,23283,1,-1.84
5.9,5.88,SOFI,6.045,-3.2072,5.885,0.4366,91960,0,0.55
5.0,4.89,AMC,5.02,-2.3529,4.98,0.2093,413185,3,0.9
