symbol,high,low,percentchange,price,open,relvolume,watchers,hourchange,sentiment
AAPL,167.41,165.65,0.7505,166.47,166.1,0.6295,878103,5,4.02
GOOGL,106.515,104.07,-1.3872,104.5,106.49,0.5757,160554,0,-2.58
TSLA,187.69,183.5887,-1.4596,184.31,187.15,0.5393,891803,5,-0.63
CVNA,9.285,8.76,-2.8698,8.8,9.22,0.2683,23295,-2,-4.4
META,220.44,216.215,-0.4432,217.89,219.91,0.3488,512948,2,0.77
MSFT,291.6,287.02,-0.1489,288.37,291.57,0.5165,443617,-3,5.01
JPM,141.78,139.03,1.1228,141.4,140.27,0.8356,82990,0,-0.58
ENPH,231.31,222.23,1.3116,227.87,225.43,0.8254,37487,1,-1.3
NOC,483.4,475.74,0.9857,479.47,475.74,0.6483,8043,0,-11.11
AMZN,104.2,101.52,-0.4283,102.3,103.95,0.555,588663,0,1.5
EA,129.38,127.82,0.7495,129.04,128.81,0.5166,20704,0,0.0
IBM,128.68,127.35,-0.0313,127.78,128.14,0.4769,51378,0,-0.62
SOFI,6.02,5.895,0.3356,5.98,6.0,0.4567,91919,0,-1.09
AMC,5.212,4.98,-2.8846,5.05,5.23,0.3403,413179,-2,-1.84
INTC,32.46,31.785,-0.9645,31.83,32.43,0.4755,131278,0,0.54
NVDA,281.0802,273.57,2.4628,276.67,275.335,1.1798,421849,4,0.13
AMD,92.16,89.33,-0.1001,89.78,91.61,0.6994,456872,1,2.98
SONY,91.86,90.99,0.1755,91.31,91.57,0.8545,2087,0,0.0
