relvolume,symbol,low,open,percentchange,high,price,watchers,hourchange,sentiment
0.7484,SONY,91.61,91.87,0.7332,92.38,92.05,2089,0,0.0
0.2397,CVNA,7.735,7.97,1.75,8.29,8.14,23257,0,-1.24
0.5057,ENPH,219.9,223.75,-0.5249,226.77,223.61,37487,0,2.04
0.5543,GOOGL,104.79,105.47,0.114,106.0,105.41,160607,2,-0.36
0.4494,SOFI,5.85,5.9,0.3378,5.99,5.94,91960,0,0.0
0.6011,NOC,468.84,475.72,-0.4618,474.875,471.99,8044,0,1.43
0.3518,AMC,4.91,4.94,0.4024,5.07,4.99,413185,1,0.07
0.5032,INTC,30.225,30.84,-1.8146,30.79,30.3,131286,2,-0.42
0.6957,JPM,138.78,139.74,-0.1917,141.11,140.54,82974,0,-3.43
0.5756,MSFT,283.0608,285.01,-0.1223,286.26,285.76,443721,3,-1.27
0.504,EA,128.695,129.05,0.2407,130.12,129.11,20702,0,10.0
0.644,NVDA,267.2301,269.52,0.0553,271.83,271.19,422037,0,1.72
1.0535,IBM,125.27,126.0,-0.4986,126.69,125.73,51487,0,0.74
0.5292,META,209.76,210.21,-0.0845,213.41,212.89,513002,0,0.61
0.6306,AMD,88.055,89.8,-1.8644,89.72,88.43,456942,0,1.61
0.7882,AAPL,164.5,165.05,-0.9781,166.45,165.02,12,-3,-1.21
1.2806,AMZN,105.08,106.1,3.0344,108.15,106.96,588936,12,0.78
0.7409,TSLA,161.33,164.8,1.2823,166.0,165.08,892738,6,0.93
